preparation,time,local_chi,mode_coordinate,mode_momentum,mode_energy_fraction,charge_fraction,charge_balance_fraction,total_energy,outer_energy_sink,core_peak
base,0.0,0.001,0.001,0.0,1.0,1.0,0.0,2615.9860448063705,0.0,0.7426140469967158
base,0.2,0.0009965946086579293,0.000996594609510671,-3.4032984984713e-05,0.9999995192805492,1.0,0.0,2615.9860488231034,-1.305974118299549e-14,0.7426178880402096
base,0.4,0.0009864016681137553,0.0009864016670507246,-6.783382906321107e-05,0.9999978820226535,1.0,0.0,2615.9860602529257,-2.9085479689149435e-14,0.7426287024597799
base,0.6,0.00096949071163046,0.000969490694151777,-0.00010117204377364688,0.9999945778539744,1.0,0.0,2615.986077333764,-4.6529292060446366e-14,0.7426444949109061
base,0.8,0.0009459770739453808,0.000945977011110588,-0.0001338204187103619,0.9999889810558366,1.0,0.0,2615.986097442798,-9.663291955458795e-14,0.7426623516403636
base,1.0,0.0009160210710258902,0.0009160209227327769,-0.00016555659727675082,0.9999806091273056,1.0000000000000002,1.5982512640237355e-16,2615.986117513108,-1.0235396961315663e-13,0.7426789781809514
base,1.2,0.0008798268715243468,0.0008798265953209112,-0.00019616458626082184,0.9999693539683782,1.0000000000000002,1.5982512640237355e-16,2615.9861345175764,-9.798465067329643e-14,0.7426913072606359
base,1.4000000000000001,0.0008376410759536607,0.000837640639117217,-0.0002254361909428309,0.9999556082554988,1.0,0.0,2615.986145940666,-1.0650733531127342e-13,0.7426970646996524
base,1.6,0.000789751019860549,0.0007897504112948461,-0.0002531723749247563,0.999940243465225,1.0,0.0,2615.9861501613686,-8.36960667701827e-14,0.7426951888190602
base,1.8,0.0007364828158608016,0.0007364820541768699,-0.0002791845491117777,0.9999244439150763,1.0,0.0,2615.986146686524,-8.651171643136782e-14,0.7426860259335479
base,2.0,0.0006781991471755908,0.0006781982822213234,-0.0003032957961672065,0.999909447364178,1.0000000000000002,1.5982512640237355e-16,2615.9861361999992,-8.838264817926059e-14,0.7426712658582877
base,2.2,0.0006152968232979158,0.0006152959301565259,-0.00032534203503793333,0.9998962721133838,1.0000000000000002,1.5982512640237355e-16,2615.986120424962,-1.2402667070519e-13,0.7426536293823714
base,2.4,0.00054820410755564,0.0005482032741594056,-0.00034517312543206274,0.999885513799782,1.0,0.0,2615.9861018276683,-1.4547145386807841e-13,0.7426363654713998
base,2.6,0.0004773778272223733,0.0004773771386146194,-0.0003626539057699187,0.9998772715078181,1.0,0.0,2615.9860832161403,-1.6275378335525213e-13,0.7426226510916958
base,2.8000000000000003,0.00040330027957261397,0.00040329980293354433,-0.00037766515184785553,0.9998712205223166,1.0000000000000002,1.5982512640237355e-16,2615.986067301748,-1.7219126767513874e-13,0.7426150045107194
base,3.0,0.0003264759514858101,0.00032647572596202433,-0.0003901044389220804,0.9998668021287563,1.0,0.0,2615.986056294327,-2.0038003377699678e-13,0.7426148204139285
base,3.2,0.0002474280750737508,0.00024742810918199987,-0.0003998868883433927,0.9998634646829931,1.0,0.0,2615.986051592383,-2.1234699262709972e-13,0.7426221126624359
base,3.4,0.00016669504633968403,0.00016669532356325848,-0.00040694578170598605,0.9998608762534781,1.0,0.0,2615.9860536117612,-2.296523394423148e-13,0.7426355121635638
base,3.6,8.482673714778342e-05,8.4827227890611e-05,-0.0004112330303172526,0.9998590414409186,1.0000000000000002,1.5982512640237355e-16,2615.986061772178,-2.1590341990030488e-13,0.7426525202173423
base,3.8000000000000003,2.3807321663523334e-06,2.381408178229549e-06,-0.00041271949452460874,0.9998582887424008,1.0,0.0,2615.986074635329,-1.945531086077116e-13,0.742669970528241
base,4.0,-8.008147820318027e-05,-8.008063183925868e-05,-0.00041139515449639636,0.9998591383567782,1.0000000000000002,1.5982512640237355e-16,2615.9860901648626,-2.0130321597270348e-13,0.742684614534573
base,4.2,-0.0001619983202388214,-0.00016199730008536697,-0.00040726913986965365,0.9998620990619985,1.0,0.0,2615.9861060608796,-2.2414977785542597e-13,0.7426937219223284
base,4.4,-0.00024281194924871113,-0.00024281073820716663,-0.0004003696290445106,0.9998674642098586,1.0000000000000002,1.5982512640237355e-16,2615.9861201125277,-2.374911829815158e-13,0.7426955853675132
base,4.6000000000000005,-0.00032197202970425464,-0.00032197061139269297,-0.00039074362928393034,0.9998751745835647,1.0000000000000002,1.5982512640237355e-16,2615.9861305128766,-2.316732558345475e-13,0.742689836223201
base,4.8,-0.00039893946332396346,-0.0003989378430432129,-0.00037845664640614036,0.9998847914954857,1.0000000000000002,1.5982512640237355e-16,2615.9861360902087,-2.7312428389738524e-13,0.7426775127752236
base,5.0,-0.0004731900460763049,-0.00047318827276266666,-0.0003635922486620666,0.9998955859301825,1.0000000000000002,1.5982512640237355e-16,2615.986136426872,-2.7663344094588223e-13,0.7426608683866345
base,5.2,-0.0005442180341975266,-0.000544216216574024,-0.0003462515247280414,0.999906711643268,1.0000000000000002,1.5982512640237355e-16,2615.986131857361,-2.5234872919792914e-13,0.7426429548872361
base,5.4,-0.0006115395971266687,-0.0006115379078591473,-0.0003265524320418152,0.9999174043866959,1.0,0.0,2615.986123357299,-2.5450087396492647e-13,0.7426270580590612
base,5.6000000000000005,-0.0006746961325027198,-0.0006746947965583294,-0.0003046290300977209,0.9999271437862909,1.0000000000000002,1.5982512640237355e-16,2615.986112351029,-2.452906518195765e-13,0.7426160893555148
base,5.8,-0.0007332574160106861,-0.000733256683143326,-0.00028063059434716065,0.9999357297832313,1.0000000000000002,1.5982512640237355e-16,2615.986100475105,-2.638086329482474e-13,0.742612046042781
base,6.0,-0.0007868245578248208,-0.0007868246633195758,-0.0002547206098721224,0.9999432558676306,1.0000000000000002,1.5982512640237355e-16,2615.9860893374585,-2.9006356409842754e-13,0.7426156392985562
base,6.2,-0.0008350327382968622,-0.0008350338597480021,-0.00022707564921528229,0.9999499957819072,1.0000000000000002,1.5982512640237355e-16,2615.9860803078705,-2.904574117751729e-13,0.742626158812972
base,6.4,-0.0008775536985389331,-0.0008775559185261856,-0.00019788414444167718,0.9999562472972651,1.0000000000000002,1.5982512640237355e-16,2615.986074366123,-3.0685373941922223e-13,0.7426415988603386
base,6.6000000000000005,-0.0009140979662908958,-0.0009141012506950405,-0.00016734506836040436,0.9999621875268531,1.0000000000000002,1.5982512640237355e-16,2615.9860720219854,-3.0424496975779065e-13,0.7426590227227168
base,6.8,-0.0009444168031528808,-0.000944421002359025,-0.00013566654278440631,0.9999677863544022,1.0,0.0,2615.9860733082714,-3.0302653761613375e-13,0.7426750986429219
base,7.0,-0.0009683038648845264,-0.0009683087406784849,-0.00010306439220043237,0.9999728017275921,1.0000000000000002,3.196502528047471e-16,2615.9860778366765,-2.8053044752181937e-13,0.7426867092251924
base,7.2,-0.0009855965710291073,-0.0009856018465178625,-6.976065934574002e-05,0.9999768514395098,1.0000000000000002,1.5982512640237355e-16,2615.9860848979215,-2.6861627010928366e-13,0.7426915230819766
base,7.4,-0.0009961771829034812,-0.0009961826074976548,-3.598209561940256e-05,0.999979530876827,1.0000000000000002,3.196502528047471e-16,2615.9860935839506,-2.4353362759581665e-13,0.742688424788872
base,7.6000000000000005,-0.000999973589762429,-0.0009999790073647427,-1.9586350622883937e-06,0.999980533339032,1.0000000000000002,3.196502528047471e-16,2615.986102910817,-2.0932351157539375e-13,0.7426777252035683
base,7.8,-0.0009969598019712188,-0.0009969652089578274,3.2078143011906943e-05,0.9999797324844831,1.0000000000000002,3.196502528047471e-16,2615.9861119256907,-1.8410911641439219e-13,0.7426611137438366
base,8.0,-0.0009871561480217412,-0.0009871617288127925,6.589655980201912e-05,0.9999772030921735,1.0000000000000002,3.196502528047471e-16,2615.986119788544,-1.610006850086557e-13,0.7426413597412074
base,8.2,-0.0009706291701735434,-0.000970635301987996,9.926638842546576e-05,0.9999731798657112,1.0000000000000002,1.5982512640237355e-16,2615.986125826408,-1.5679044931883516e-13,0.7426218132724296
base,8.4,-0.0009474912123561481,-0.00094749843639935,0.00013196040632633342,0.9999679756706108,1.0000000000000002,3.196502528047471e-16,2615.9861295639657,-1.907508752276449e-13,0.7426057898995835
base,8.6,-0.0009178996944710498,-0.0009179086571817559,0.00016375594086544333,0.9999618928202705,1.0000000000000002,1.5982512640237355e-16,2615.9861307373826,-1.5858377784916558e-13,0.7425959440190659
base,8.8,-0.0008820560697213452,-0.0008820674435233607,0.00019443639662793387,0.9999551600846603,1.0,0.0,2615.986129298407,-1.363830306115396e-13,0.7425937402672999
base,9.0,-0.0008402044659813806,-0.0008402188630371518,0.00022379274992316073,0.9999479152452575,1.0000000000000002,1.5982512640237355e-16,2615.986125413474,-1.204373594432249e-13,0.7425991217130113
base,9.200000000000001,-0.0007926300179944314,-0.000792647911834377,0.00025162499431346125,0.9999402337924105,1.0000000000000002,1.5982512640237355e-16,2615.9861194587734,-1.525598968680256e-13,0.7426104479093881
base,9.4,-0.0007396569035400723,-0.0007396785717097437,0.00027774352122417515,0.9999321863335616,1.0000000000000002,3.196502528047471e-16,2615.986112008381,-1.5502411687908208e-13,0.7426247358677923
base,9.6,-0.0006816461026429069,-0.0006816715988669917,0.00030197042168068005,0.9999238971845235,1.0000000000000002,1.5982512640237355e-16,2615.9861038097415,-1.6892379055434502e-13,0.742638184639549
base,9.8,-0.0006189929033724322,-0.0006190220610967396,0.0003241406984460683,0.9999155778735516,1.0000000000000002,1.5982512640237355e-16,2615.9860957400524,-1.7994696925882078e-13,0.7426469054000778
base,10.0,-0.0005521241799989688,-0.0005521566421004149,0.000344103381454724,0.9999075208672743,1.0000000000000002,1.5982512640237355e-16,2615.986088738961,-1.527617126465333e-13,0.7426477251966476
base,10.200000000000001,-0.00048149546890008475,-0.0004815307327465737,0.00036172254255850965,0.9999000557956123,1.0000000000000002,3.196502528047471e-16,2615.9860837173446,-1.5322175460083034e-13,0.7426388992624303
base,10.4,-0.00040758786503766346,-0.00040762532962431504,0.0003768782075266638,0.9998934859692608,1.0000000000000002,1.5982512640237355e-16,2615.986081448199,-1.5234229348306476e-13,0.7426205681841748
base,10.6,-0.000330904758154821,-0.000330943761601454,0.00038946716365486066,0.9998880309516146,1.0000000000000002,1.5982512640237355e-16,2615.986082452209,-9.455957347600329e-14,0.7425948386948391
base,10.8,-0.00025196842462126413,-0.0002520082654983322,0.0003994036603884801,0.9998837983240537,1.0000000000000002,1.5982512640237355e-16,2615.9860868959045,-7.559194870938369e-14,0.742565444761703
base,11.0,-0.00017131648957887242,-0.00017135643267575233,0.0004066199985984236,0.9998807956969268,1.0000000000000002,1.5982512640237355e-16,2615.9860945225532,-1.3153256474713555e-13,0.7425370413919312
base,11.200000000000001,-8.949827557137457e-05,-8.953754939458859e-05,0.0004110670023499372,0.9998789772970376,1.0000000000000002,1.5982512640237355e-16,2615.986104634095,-1.5428198187954494e-13,0.7425142726457638
base,11.4,-7.071058074729662e-06,-7.108855160151124e-06,0.00041271436596738623,0.9998783047686166,1.0000000000000002,1.5982512640237355e-16,2615.986116136288,-1.4856200222714694e-13,0.742500813811626
base,11.6,7.540374585892898e-05,7.536825529831125e-05,0.00041155086948865035,0.9998787950944984,1.0000000000000002,1.5982512640237355e-16,2615.9861276496413,-1.244417315442549e-13,0.7424985994897874
base,11.8,0.00015736442403842856,0.00015733205953489957,0.00040758445740013974,0.9998805326890337,1.0000000000000002,1.5982512640237355e-16,2615.9861376773288,-9.077826631731617e-14,0.7425074107582481
base,12.0,0.00023825281530472631,0.00023822433676750187,0.0004008421785814404,0.9998836364532571,1.0000000000000002,1.5982512640237355e-16,2615.986144810154,-1.0037768879332825e-13,0.7425249150062754
base,12.200000000000001,0.0003175181198345774,0.0003174941714639606,0.00039136998902918063,0.9998881908536694,1.0000000000000002,1.5982512640237355e-16,2615.986147939875,-8.698560806717057e-14,0.7425471508432879
base,12.4,0.0003946206412594575,0.00039460170413348076,0.00037923242234259424,0.9998941659011311,1.0000000000000002,1.5982512640237355e-16,2615.986146447511,-1.4789221413544134e-13,0.7425693518806255
base,12.6,0.0004690354342159969,0.0004690218035833061,0.00036451213535266543,0.999901357971574,1.0000000000000002,1.5982512640237355e-16,2615.98614033389,-1.364259716133148e-13,0.7425869298754579
base,12.8,0.0005402558378304063,0.0005402476364940832,0.0003473093371483719,0.9999093785350206,1.0,0.0,2615.986130265933,-1.253446369328663e-13,0.7425964057510486
base,13.0,0.0006077968814629408,0.000607794111770614,0.0003277411090067105,0.9999177022515705,1.0,0.0,2615.9861175237315,-1.2515719023942025e-13,0.7425960923120216
base,13.200000000000001,0.0006711985521349926,0.0006712011784431256,0.00030594062073565996,0.9999257648432025,1.0,0.0,2615.986103848692,-1.2309284245550448e-13,0.7425863901479063
base,13.4,0.0007300289126087708,0.0007300369567458683,0.00028205624642413846,0.9999330821980361,1.0000000000000002,1.5982512640237355e-16,2615.9860912096633,-1.2779702985261656e-13,0.7425696441561497
base,13.6,0.000783887055353803,0.0007839006823706371,0.00025625058046310756,0.9999393523947251,1.0,0.0,2615.9860815190095,-1.020733984608128e-13,0.7425496026204019
base,13.8,0.0008324058719128157,0.0008324254439459845,0.00022869935378344502,0.9999445057756711,1.0000000000000002,1.5982512640237355e-16,2615.986076341166,-9.360614913274702e-14,0.742530603172698
base,14.0,0.0008752546113716622,0.0008752806938298694,0.00019959025106804296,0.9999486842530887,1.0000000000000002,1.5982512640237355e-16,2615.9860766399684,-8.486679150330141e-14,0.7425166631098601
base,14.200000000000001,0.0009121411977555506,0.0009121745126852258,0.00016912163229635755,0.9999521545434231,1.0000000000000002,1.5982512640237355e-16,2615.986082607038,-6.991819190579022e-14,0.7425106653560479
base,14.4,0.0009428142756952432,0.0009428556093571387,0.00013750116593451444,0.9999551829723637,1.0000000000000002,1.5982512640237355e-16,2615.9860936021155,-6.912715039358503e-14,0.742513804624931
base,14.6,0.0009670649572423606,0.0009671150394803958,0.0001049443855635337,0.9999579137617737,1.0000000000000002,1.5982512640237355e-16,2615.986108219302,-6.821735148991794e-14,0.7425253984232925
base,14.8,0.000984728249775498,0.000984787629021444,7.167318572544524e-05,0.9999602929751429,1.0,0.0,2615.986124473442,-7.615733529487659e-14,0.7425430884086172
base,15.0,0.0009956841541520411,0.0009957530924028664,3.7914275320850784e-05,0.9999620659838365,1.0,0.0,2615.9861400815603,-2.4948489206431805e-14,0.7425633765226857
base,15.200000000000001,0.0009998584317169599,0.0009999368386154096,3.897607395447609e-06,0.999962851925808,1.0000000000000002,1.5982512640237355e-16,2615.986152798426,-5.418550196018937e-14,0.7425823740177905
base,15.4,0.0009972230465777028,0.000997310462360255,-3.0145197516239733e-05,0.9999622722892786,1.0000000000000002,1.5982512640237355e-16,2615.9861607555185,-3.836223115596657e-14,0.7425966028681695
base,15.6,0.0009877962943062905,0.000987891920379976,-6.398242075323078e-05,0.9999600914656498,1.0,0.0,2615.986162750666,-6.75304762909603e-14,0.7426036846880746
base,15.8,0.0009716426293769361,0.0009717453954564682,-9.738379820584932e-05,0.9999563216481888,1.0,0.0,2615.9861584419577,-8.396214045541663e-14,0.7426027815271619
base,16.0,0.0009488722016054959,0.0009489808520008791,-0.00013012205110481416,0.9999512549763944,1.0000000000000002,1.5982512640237355e-16,2615.986148413612,-6.641791536932055e-14,0.7425947083889815
base,16.2,0.0009196401078041086,0.0009197532878723116,-0.00016197439271520604,0.9999454091010685,1.0,0.0,2615.9861341011547,-6.736671584845753e-14,0.7425817067447334
base,16.4,0.0008841453604486343,0.0008842616873567194,-0.00019272400981096974,0.9999394007585841,1.0000000000000002,1.5982512640237355e-16,2615.986117585486,-6.44143525390437e-14,0.7425669371665665
base,16.6,0.0008426295719939347,0.0008427476805318398,-0.00022216151673200827,0.9999337860432624,1.0,0.0,2615.9861012864626,-9.129381935310353e-14,0.7425538037016756
base,16.8,0.0007953753527704884,0.0007954939149482805,-0.00025008637690328306,0.999928917742975,1.0000000000000002,1.5982512640237355e-16,2615.9860876028447,-7.942612897666534e-14,0.7425452523995582
base,17.0,0.0007427044226314554,0.0007428221469701353,-0.0002763082827007296,0.9999248653286268,1.0,0.0,2615.9860785541487,-7.943200125685133e-14,0.7425431864826353
base,17.2,0.0006849754413862584,0.0006850910623525592,-0.0003006484805353386,0.9999214234006277,1.0000000000000002,1.5982512640237355e-16,2615.986075479588,-1.1569548201801826e-13,0.7425481121326664
base,17.400000000000002,0.0006225815695599632,0.0006226938385834994,-0.00032294102506025946,0.999918206038848,1.0,0.0,2615.986078840214,-1.16325516806122e-13,0.7425590785348123
base,17.6,0.0005559477778126063,0.0005560554648849004,-0.00034303394529915505,0.9999147968824046,1.0,0.0,2615.9860881539926,-1.1172212782370803e-13,0.742573914561527
base,17.8,0.00048552792907855663,0.00048562983913789807,-0.0003607903066068015,0.9999109069409756,1.0000000000000002,1.5982512640237355e-16,2615.9861020728576,-1.3118186925778534e-13,0.7425897049265485
base,18.0,0.0004118016611602945,0.00041189666393107773,-0.00037608915552678267,0.9999064899054363,1.0000000000000002,1.5982512640237355e-16,2615.9861185887758,-1.334296922321221e-13,0.7426034026136007
base,18.2,0.0003352710987280918,0.00033535816608144727,-0.00038882633914216405,0.9999017787076242,1.0000000000000002,1.5982512640237355e-16,2615.986135336287,-1.2041914507186707e-13,0.7426124505431974
base,18.400000000000002,0.00025645742268099267,0.00025653566516301403,-0.00039891519544727594,0.9998972325723208,1.0,0.0,2615.9861499445597,-9.203129826523009e-14,0.7426152876927349
base,18.6,0.00017589732239463188,0.00017596601682270399,-0.00040628711556275427,0.9998934123945941,1.0,0.0,2615.9861603850813,-8.357084779887918e-14,0.7426116418314473
base,18.8,9.413935355139338e-05,9.419795618552923e-05,-0.00041089198142749855,0.9998908246672409,1.0,0.0,2615.9861652626455,-6.377063228858887e-14,0.7426025564449144
