time,radius,case,a,chi
0.0,0.1,2,0.0,0.001
0.0,0.5,2,0.0,0.0009967976370970266
0.0,0.9,2,0.0,0.0009893498192978024
0.0,1.3,2,0.0,0.0009777148541461828
0.0,1.7000000000000002,2,0.0,0.0009619839146771653
0.0,2.1,2,0.0,0.0009422804664150834
0.0,2.5,2,0.0,0.0009187595454389356
0.0,2.9000000000000004,2,0.0,0.0008916069485641374
0.0,3.3000000000000003,2,0.0,0.0008610384214358908
0.0,3.7,2,0.0,0.0008272989611286134
0.0,4.1000000000000005,2,0.0,0.0007906623873687301
0.0,4.5,2,0.0,0.0007514313797234615
0.0,4.9,2,0.0,0.0007099382219377775
0.0,5.300000000000001,2,0.0,0.0006665465249685973
0.0,5.7,2,0.0,0.0006216541841495663
0.0,6.1000000000000005,2,0.0,0.0005756976924006762
0.0,6.5,2,0.0,0.0005291575396391092
0.0,6.9,2,0.0,0.00048256353189220387
0.0,7.300000000000001,2,0.0,0.00043649713969123703
0.0,7.7,2,0.0,0.0003915853587424521
0.0,8.1,2,0.0,0.0003484781650639259
0.0,8.5,2,0.0,0.0003078029794675603
0.0,8.9,2,0.0,0.0002700990146645588
0.0,9.3,2,0.0,0.00023575009642073886
0.0,9.700000000000001,2,0.0,0.0002049433212868788
0.0,10.100000000000001,2,0.0,0.0001776704448296881
0.0,10.5,2,0.0,0.00015376637652095567
0.0,10.9,2,0.0,0.00013296421883354055
0.0,11.3,2,0.0,0.00011494725568586976
0.0,11.700000000000001,2,0.0,9.938784708431212e-05
0.0,12.100000000000001,2,0.0,8.597184630681707e-05
0.0,12.5,2,0.0,7.441145475971489e-05
0.0,12.9,2,0.0,6.445032776573065e-05
0.0,13.3,2,0.0,5.586409704074442e-05
0.0,13.700000000000001,2,0.0,4.845848608869121e-05
0.0,14.100000000000001,2,0.0,4.20663567014415e-05
0.0,14.5,2,0.0,3.6544443721497534e-05
0.0,14.9,2,0.0,3.177017268737201e-05
0.0,15.3,2,2.818193643725394e-06,2.7638743808523998e-05
0.0,15.700000000000001,2,7.563964663838827e-05,2.4060549374682424e-05
0.0,16.1,2,0.00039349722931934783,2.0958931279834297e-05
0.0,16.5,2,0.0010909090909090912,1.8268256484828092e-05
0.0,16.900000000000002,2,0.00210771264458575,1.5932276531291527e-05
0.0,17.3,2,0.0031615011495141673,1.3902734415875848e-05
0.0,17.7,2,0.003871140538757064,1.2138183666562312e-05
