grid,case,tick,no_pulse_time,delta_cycles,predicted_cycles
base,1,0,11.417057723785527,-0.0,-0.0
base,1,1,26.639797421392167,1.564530902736758e-08,1.561418660630823e-08
base,1,2,41.8625347787109,-1.4354532320956656e-09,-1.4538465329979953e-09
base,1,3,57.08527436895954,-3.355106259642431e-08,-3.357075116733638e-08
base,1,4,72.30801916339261,-2.32593161967872e-08,-2.329221278768692e-08
base,1,5,87.53076027946001,-1.9440225409066644e-08,-1.9455023693891477e-08
base,2,0,11.417057723785527,-0.0,-0.0
base,2,1,26.639797421392167,6.295465265123614e-08,6.245669788178032e-08
base,2,2,41.8625347787109,-5.521086782859161e-09,-5.815389399339754e-09
base,2,3,57.08527436895954,-1.3396796606360985e-07,-1.34283040610171e-07
base,2,4,72.30801916339261,-9.264252530043878e-08,-9.316884835016388e-08
base,2,5,87.53076027946001,-7.758333808834343e-08,-7.782011064554081e-08
base,3,0,11.417057723785527,-0.0,-0.0
base,3,1,26.639797421392167,2.5779317281850694e-07,2.498260141317334e-07
base,3,2,41.8625347787109,-1.855282495643791e-08,-2.326161547609098e-08
base,3,3,57.08527436895954,-5.320906845029211e-07,-5.371327304924325e-07
base,3,4,72.30801916339261,-3.6425356740138776e-07,-3.72675314984309e-07
base,3,5,87.53076027946001,-3.074924336070368e-07,-3.112806712965073e-07
base,4,0,11.417057723785527,-0.0,-0.0
base,4,1,26.639797421392167,6.295465265123614e-08,6.245669788178032e-08
base,4,2,41.8625347787109,-5.521086782859161e-09,-5.815389399339754e-09
base,4,3,57.08527436895954,-1.3396796606360985e-07,-1.34283040610171e-07
base,4,4,72.30801916339261,-9.264252530043878e-08,-9.316884835016388e-08
base,4,5,87.53076027946001,-7.758333808834343e-08,-7.782011064554081e-08
base,5,0,11.417057723785527,-5.452220893861829e-10,-5.452278072447845e-10
base,5,1,26.639797421392167,6.466001984912983e-08,6.416380610927268e-08
base,5,2,41.8625347787109,-7.073528335470921e-09,-7.3669571698044e-09
base,5,3,57.08527436895954,-1.3448218172278258e-07,-1.3479633254345213e-07
base,5,4,72.30801916339261,-9.382170737735977e-08,-9.434649944127154e-08
base,5,5,87.53076027946001,-7.651984812840087e-08,-7.675522972897515e-08
base,6,0,11.417057723785527,-5.452220893861829e-10,-5.452278072447845e-10
base,6,1,26.639797421392167,6.466001984912983e-08,6.416380610927268e-08
base,6,2,41.8625347787109,-7.073528335470921e-09,-7.3669571698044e-09
base,6,3,57.08527436895954,-1.3448218172278258e-07,-1.3479633254345213e-07
base,6,4,72.30801916339261,-9.382170737735977e-08,-9.434649944127154e-08
base,6,5,87.53076027946001,-7.651984812840087e-08,-7.675522972897515e-08
fine,1,0,11.41708613258708,-0.0,-0.0
fine,1,1,26.63986369093583,1.570753986656725e-08,1.567647835820566e-08
fine,1,2,41.86263891882046,-1.5674550156256018e-09,-1.585715288797201e-09
fine,1,3,57.08541640731641,-3.3580678303396645e-08,-3.360036547401681e-08
fine,1,4,72.3081990958372,-2.3277050426967455e-08,-2.3309807922204864e-08
fine,1,5,87.5309780415864,-1.9485170111494834e-08,-1.949984797121606e-08
fine,2,0,11.41708613258708,-0.0,-0.0
fine,2,1,26.63986369093583,6.320287819590346e-08,6.2705865122752e-08
fine,2,2,41.86263891882046,-6.050732258504742e-09,-6.34286582282848e-09
fine,2,3,57.08541640731641,-1.340866011274032e-07,-1.344014969033648e-07
fine,2,4,72.3081990958372,-9.27151985831188e-08,-9.323922422059599e-08
fine,2,5,87.5309780415864,-7.776447798178537e-08,-7.79994068213112e-08
fine,3,0,11.41708613258708,-0.0,-0.0
fine,3,1,26.63986369093583,2.587748224848303e-07,2.5082269033046163e-07
fine,3,2,41.86263891882046,-2.069756524528549e-08,-2.5371524904157624e-08
fine,3,3,57.08541640731641,-5.32567398944655e-07,-5.37606550530804e-07
fine,3,4,72.3081990958372,-3.6457203578875646e-07,-3.729568193995654e-07
fine,3,5,87.5309780415864,-3.0823913552989365e-07,-3.1199785133194917e-07
fine,4,0,11.41708613258708,-0.0,-0.0
fine,4,1,26.63986369093583,6.320287819590346e-08,6.2705865122752e-08
fine,4,2,41.86263891882046,-6.050732258504742e-09,-6.34286582282848e-09
fine,4,3,57.08541640731641,-1.340866011274032e-07,-1.344014969033648e-07
fine,4,4,72.3081990958372,-9.27151985831188e-08,-9.323922422059599e-08
fine,4,5,87.5309780415864,-7.776447798178537e-08,-7.79994068213112e-08
fine,5,0,11.41708613258708,-5.447568424016019e-10,-5.447560255646589e-10
fine,5,1,26.63986369093583,6.489326973866467e-08,6.4397967588836e-08
fine,5,2,41.86263891882046,-7.587386920208556e-09,-7.878647169149145e-09
fine,5,3,57.08541640731641,-1.3461376108492196e-07,-1.3492774387056323e-07
fine,5,4,72.3081990958372,-9.387759302718558e-08,-9.440008767884946e-08
fine,5,5,87.5309780415864,-7.670831808318802e-08,-7.694185876667459e-08
fine,6,0,11.41708613258708,-5.447568424016019e-10,-5.447560255646589e-10
fine,6,1,26.63986369093583,6.489326973866467e-08,6.4397967588836e-08
fine,6,2,41.86263891882046,-7.587386920208556e-09,-7.878647169149145e-09
fine,6,3,57.08541640731641,-1.3461376108492196e-07,-1.3492774387056323e-07
