grid,case,pattern,amplitude,time,local_chi,upstream_a,delta_chi,predicted_delta_chi,total_energy,charge
base,0,single,0,0.0,0.001,0.0,0.0,0.0,2616.0133735154927,2845.280721015032
base,1,single,0.002,0.0,0.001,0.0,0.0,0.0,2616.0301049238274,2845.280721015032
base,2,single,0.004,0.0,0.001,0.0,0.0,0.0,2616.0802991488285,2845.280721015032
base,3,single,0.008,0.0,0.001,0.0,0.0,0.0,2616.2810760488333,2845.280721015032
base,4,single,-0.004,0.0,0.001,-0.0,0.0,0.0,2616.0802991488285,2845.280721015032
base,5,counter,0.004,0.0,0.001,0.0,0.0,0.0,2616.085791587857,2845.280721015032
base,6,counter,-0.004,0.0,0.001,-0.0,0.0,0.0,2616.085791587857,2845.280721015032
base,0,single,0,0.1,0.000999148307972942,0.0,0.0,0.0,2616.0133735094446,2845.280721008312
base,1,single,0.002,0.1,0.000999148307972942,0.0,0.0,0.0,2616.0301049177765,2845.280721008312
base,2,single,0.004,0.1,0.000999148307972942,0.0,0.0,0.0,2616.0802991427745,2845.280721008311
base,3,single,0.008,0.1,0.000999148307972942,0.0,0.0,0.0,2616.281076042764,2845.280721008311
base,4,single,-0.004,0.1,0.000999148307972942,0.0,0.0,0.0,2616.0802991427745,2845.280721008311
base,5,counter,0.004,0.1,0.000999148307972942,0.0,0.0,0.0,2616.0857915817983,2845.280721008311
base,6,counter,-0.004,0.1,0.000999148307972942,0.0,0.0,0.0,2616.0857915817983,2845.280721008311
base,0,single,0,0.2,0.0009965946826520516,0.0,0.0,0.0,2616.0133735033965,2845.2807210015903
base,1,single,0.002,0.2,0.0009965946826520516,4.102140187916626e-23,0.0,0.0,2616.0301049117274,2845.2807210015903
base,2,single,0.004,0.2,0.0009965946826520516,8.204280375833252e-23,0.0,0.0,2616.0802991367204,2845.2807210015903
base,3,single,0.008,0.2,0.0009965946826520516,1.6408560751666504e-22,0.0,0.0,2616.2810760366947,2845.2807210015903
base,4,single,-0.004,0.2,0.0009965946826520516,-8.204280375833252e-23,0.0,0.0,2616.0802991367204,2845.2807210015903
base,5,counter,0.004,0.2,0.0009965946826520516,8.204280375833252e-23,0.0,0.0,2616.0857915757397,2845.2807210015903
base,6,counter,-0.004,0.2,0.0009965946826520516,-8.204280375833252e-23,0.0,0.0,2616.0857915757397,2845.2807210015903
base,0,single,0,0.3,0.0009923434738520179,0.0,0.0,0.0,2616.0133734973474,2845.28072099487
base,1,single,0.002,0.3,0.0009923434738520179,5.572933878362968e-19,0.0,0.0,2616.0301049056775,2845.28072099487
base,2,single,0.004,0.3,0.0009923434738520179,1.1145867756725935e-18,0.0,0.0,2616.0802991306664,2845.28072099487
base,3,single,0.008,0.3,0.0009923434738520179,2.229173551345187e-18,0.0,0.0,2616.2810760306247,2845.28072099487
base,4,single,-0.004,0.3,0.0009923434738520179,-1.1145867756725935e-18,0.0,0.0,2616.0802991306664,2845.28072099487
base,5,counter,0.004,0.3,0.0009923434738520179,1.1145867756725935e-18,0.0,-7.725921565801333e-51,2616.0857915696806,2845.28072099487
base,6,counter,-0.004,0.3,0.0009923434738520179,-1.1145867756725935e-18,0.0,-7.725921565801333e-51,2616.0857915696806,2845.28072099487
base,0,single,0,0.4,0.0009864019230305559,0.0,0.0,0.0,2616.0133734912984,2845.2807209881494
base,1,single,0.002,0.4,0.0009864019230305559,3.414811537182502e-16,0.0,0.0,2616.0301048996275,2845.2807209881494
base,2,single,0.004,0.4,0.0009864019230305559,6.829623074365004e-16,0.0,0.0,2616.0802991246132,2845.2807209881485
base,3,single,0.008,0.4,0.0009864019230305559,1.3659246148730008e-15,0.0,0.0,2616.281076024555,2845.2807209881494
base,4,single,-0.004,0.4,0.0009864019230305559,-6.829623074365004e-16,0.0,0.0,2616.0802991246132,2845.2807209881485
base,5,counter,0.004,0.4,0.0009864019230305559,6.829623074365004e-16,0.0,-1.3438267359458757e-44,2616.085791563623,2845.2807209881485
base,6,counter,-0.004,0.4,0.0009864019230305559,-6.829623074365004e-16,0.0,-1.3438267359458757e-44,2616.085791563623,2845.2807209881485
base,0,single,0,0.5,0.0009787801509529841,0.0,0.0,0.0,2616.0133734852498,2845.280720981428
base,1,single,0.002,0.5,0.0009787801509529841,4.3243790934221306e-14,0.0,0.0,2616.0301048935776,2845.280720981428
base,2,single,0.004,0.5,0.0009787801509529841,8.648758186844261e-14,0.0,0.0,2616.0802991185587,2845.280720981428
base,3,single,0.008,0.5,0.0009787801509529841,1.7297516373688523e-13,0.0,0.0,2616.2810760184857,2845.280720981428
base,4,single,-0.004,0.5,0.0009787801509529841,-8.648758186844261e-14,0.0,0.0,2616.0802991185587,2845.280720981428
base,5,counter,0.004,0.5,0.0009787801509529841,8.648758186844261e-14,0.0,-3.729939192790066e-40,2616.0857915575634,2845.280720981428
base,6,counter,-0.004,0.5,0.0009787801509529841,-8.648758186844261e-14,0.0,-3.729939192790066e-40,2616.0857915575634,2845.280720981428
base,0,single,0,0.6,0.0009694911404520784,0.0,0.0,0.0,2616.0133734792016,2845.280720974708
base,1,single,0.002,0.6,0.0009694911404520784,2.0304144352099902e-12,0.0,0.0,2616.0301048875276,2845.2807209747075
base,2,single,0.004,0.6,0.0009694911404520784,4.0608288704199804e-12,0.0,0.0,2616.080299112505,2845.2807209747075
base,3,single,0.008,0.6,0.0009694911404520784,8.121657740839961e-12,0.0,0.0,2616.2810760124166,2845.280720974708
base,4,single,-0.004,0.6,0.0009694911404520784,-4.0608288704199804e-12,0.0,0.0,2616.080299112505,2845.2807209747075
base,5,counter,0.004,0.6,0.0009694911404520784,4.0608288704199804e-12,0.0,-1.1547264750550438e-36,2616.0857915515044,2845.2807209747075
