sample,condition_coframe,z,hessian_error,equation_error,lapse,shift_x
0,1.455925686944056,1.108058398639225,3.2724548282901457e-16,1.252093915143024e-16,1.0841915400879865,-0.12058306237690934
1,1.4553781124471596,1.1001848987915417,2.8241039783094536e-16,6.998359533289202e-17,0.9566590048132426,-0.11290649351926871
2,1.4979000187619909,1.0670102032932145,1.6737375368225722e-16,5.551115123125783e-17,1.1253054710486181,0.08066003880992113
3,1.2441133063206078,1.0579773093763662,3.3306690738754696e-16,5.551115123125783e-17,1.1406754229847116,0.09521415049463926
4,1.5055909436887018,1.0339640285109444,3.21867417190022e-16,1.1102230246251565e-16,1.1812729417462746,0.07289444801489578
5,1.3206997190576408,1.0781014278046326,3.0481820500933594e-16,4.948005477546231e-17,1.1292327698699438,0.15907161269289166
6,1.4128527982986003,1.0376196986049662,2.501350440820635e-16,7.234648163634152e-17,0.882755906689125,0.032279351203298
7,1.369944332233183,1.0820418031911556,3.0362473775173846e-16,1.1102230246251565e-16,0.8601129480004995,-0.11453111158726247
8,1.340701866567108,1.096505192451434,5.052127635479687e-16,1.8786902412805808e-16,0.9852235181013471,-0.06976618258318736
9,1.5113960421096562,1.0999591395764492,3.0312996630054046e-16,1.7395240343325542e-16,0.8664980732620887,-0.18289009889648938
10,1.2728311589650607,1.0961277221264931,4.963566327177468e-16,6.437526801351025e-17,0.9037467645940773,-0.00030123128324296934
11,1.2905755089148863,1.0362301109761936,3.618156399814172e-16,1.1102230246251565e-16,0.9188331625218564,0.02713240703257705
12,1.5189820353237045,1.0582058760631112,2.855114260135746e-16,6.510237419455532e-17,0.8248248189928079,0.057435950241142
13,1.482920215538799,1.054980117927081,3.3528854784717264e-16,2.1764182326341905e-17,1.0631680147282445,-0.026938080154682718
14,1.3808173197229345,1.032660214329833,5.820808247181647e-16,2.0305120699342113e-16,1.0754145943576603,-0.1512835713386246
15,1.2933449632332363,1.049829479662711,2.1137935443075446e-16,3.980723083074767e-17,1.055306364902549,-0.004764997313588509
16,1.6379781864516445,1.0765378773218848,1.5139475905618937e-16,1.1102230246251565e-16,0.8966809668531982,0.12301871911594471
17,1.3695518874051609,1.08985276100191,3.2602349431442054e-16,0.0,1.1236749467002198,0.10612583676038241
18,1.4097510056298632,1.0645494821283816,3.2300766235663086e-16,1.1102230246251565e-16,1.178725948971285,-0.07978735300913598
19,1.3034891626239806,1.0355522008629618,1.9777233830107812e-16,4.211866066377308e-17,0.9457289392999539,0.05711379550073009
20,1.449356652363131,1.0701781161035449,3.134186463702673e-16,1.1102230246251565e-16,0.9174626380661389,0.036688144223123054
21,1.4700338597460412,1.0719582851948757,4.567668649006608e-16,1.7135864328919963e-16,0.8573447609112226,-0.1223453102768794
22,1.5652070127807411,1.0385941888675831,1.5808046447357018e-16,4.796925017268734e-17,0.8598880886710565,-0.07185964510629732
23,1.2523630588086114,1.0244051025419838,5.637654130054605e-16,1.760167171660043e-16,1.0166258844622376,0.05662024983039332
24,1.2877121220103878,1.0137449611459952,4.440892098500626e-16,1.1102230246251565e-16,1.1060738764641411,-0.14762115448648494
25,1.4866745698631867,1.044922719268508,2.3057511265848027e-16,1.1102230246251565e-16,0.8688089003319037,0.19718954409506229
26,1.5211051379946847,1.0119290775975078,2.1223988909474725e-16,1.1102230246251565e-16,0.8030134148107981,-0.007421640485138688
27,1.459382465510101,1.0949626497342353,3.331243215106125e-16,1.1102230246251565e-16,0.949379974707581,0.041796082326497515
28,1.3772448556492083,1.0841315186131097,7.019767213508148e-16,1.0041464020471355e-16,1.1780340038272081,-0.019311188325017305
29,1.3229688449620307,1.0882165359634444,3.852568179798156e-16,1.6004671014750263e-16,1.1310133029066858,-0.03593565436896801
30,1.4259191677640275,1.135666415727277,3.843547515979428e-16,1.775752323120346e-16,0.8094886774963388,0.0010654652850946855
31,1.3676350973604414,1.08305004793415,3.4055442383434296e-16,1.806547238105093e-16,0.9113441611892166,-0.10271299361199945
32,1.5299239972520697,1.020915269964363,4.7414391748598e-16,1.865158373893054e-17,0.9687377486487659,0.14227013738267022
33,1.5119036145092395,1.0866746667307137,2.7047599606773886e-16,1.1858906121209626e-16,0.8135402136183554,-0.1784989575439319
34,1.4425141666427737,1.0603713238283599,2.8435686373239896e-16,9.22275336502476e-17,1.1451091049040119,0.11908437090466564
35,1.3962341776871228,1.0416093371340678,5.241194213800478e-16,2.220446049250313e-16,1.1425974646366717,-0.0017083450487848408
36,1.458537876689326,1.0992130981958987,2.8341281383170734e-16,3.474964408646635e-17,1.0310516000841348,-0.06807371239689879
37,1.4318328364245552,1.1029189504044001,3.845387056627011e-16,0.0,1.1430049314563437,-0.1647433890020034
38,1.36744820699436,1.0384467369524772,3.267885611185753e-16,7.491103046157183e-17,0.9526666693218993,-0.07318421253121045
39,1.362314626978595,1.0892872804145695,3.094879283472816e-16,1.08995267559091e-16,0.9375708761759257,-0.1580190849218448
40,1.462446198995161,1.0450692169733742,2.1731101825887602e-16,5.551115123125783e-17,1.1299580045144921,0.16147522817268653
41,1.4131924341247613,1.0210312872614746,4.831365104275135e-16,8.624864068082711e-17,1.0565719252450239,-0.12680888484961758
42,1.4198882488928202,1.0918690766293382,3.2339706915053167e-16,3.7607689014874766e-17,0.9647189123581865,-0.1540066252256411
43,1.4984603525262798,1.0757725260554898,1.7204633814488585e-16,1.0740596004062348e-16,0.9158389439161536,0.14210853858705588
44,1.5003564093157042,1.0568404856092701,3.4283079682727194e-16,1.4856317089506169e-16,0.9032532324797037,-0.043359868188882766
45,1.3321875317997407,1.0273863665819492,3.428269715524702e-16,2.13609174679526e-16,0.9985647154447218,-0.18076656576211797
46,1.4305437978636952,1.039454167484591,6.859839481673977e-16,0.0,0.8960031587720632,0.08497087077175683
47,1.3643139835890228,1.0685737129905355,4.792943431181979e-16,0.0,1.0424813941236466,-0.0002496541296334319
48,1.4399102046516499,1.114152356817521,5.779540962242595e-16,6.484996465163926e-17,0.8514690301388195,0.0272648614264206
49,1.3341786925682353,1.0994299618088184,3.787142196351348e-16,1.7458276664802708e-16,0.8660629760286622,-0.05512197812786066
50,1.2438226510121244,1.0992781206354993,2.1960744508119247e-16,1.4659320974832627e-16,1.0426948031887076,-0.0653947385243912
51,1.6190028108978334,1.0604766076446697,1.356312938750722e-16,5.788275602706421e-17,0.8048415452877095,-0.11567832185917692
52,1.3310077144462487,1.0504553573836428,3.435605543710852e-16,8.269824500601921e-17,0.9014784245258447,-0.056514671424524085
53,1.5368249002812668,1.0243254653510103,2.7909689134694125e-16,5.294086158520677e-17,0.9866493048345927,-0.1828048620326577
54,1.459199616068197,1.0631871160489768,3.1901087948986384e-16,3.4657369522002e-17,0.9783159018103048,-0.06748641437375782
