background,cycle,x,wave_norm2,memory_norm2
vacuum,0,-4,0.0,0.0
vacuum,0,-3,0.0,0.0
vacuum,0,-2,0.0,0.0
vacuum,0,-1,0.0,0.0
vacuum,0,0,0.0,1.0
vacuum,0,1,0.0,0.0
vacuum,0,2,0.0,0.0
vacuum,0,3,0.0,0.0
vacuum,0,4,0.0,0.0
vacuum,1,-4,0.0,0.0
vacuum,1,-3,0.0,0.0
vacuum,1,-2,0.0,0.0
vacuum,1,-1,0.0,0.0
vacuum,1,0,0.0,0.9999999998028277
vacuum,1,1,0.0,0.0
vacuum,1,2,0.0,0.0
vacuum,1,3,0.0,0.0
vacuum,1,4,0.0,0.0
vacuum,2,-4,0.0,0.0
vacuum,2,-3,0.0,0.0
vacuum,2,-2,0.0,0.0
vacuum,2,-1,0.0,0.0
vacuum,2,0,0.0,0.9999999996056554
vacuum,2,1,0.0,0.0
vacuum,2,2,0.0,0.0
vacuum,2,3,0.0,0.0
vacuum,2,4,0.0,0.0
vacuum,3,-4,0.0,0.0
vacuum,3,-3,0.0,0.0
vacuum,3,-2,0.0,0.0
vacuum,3,-1,0.0,0.0
vacuum,3,0,0.0,0.9999999994084832
vacuum,3,1,0.0,0.0
vacuum,3,2,0.0,0.0
vacuum,3,3,0.0,0.0
vacuum,3,4,0.0,0.0
equal,0,-4,0.0,0.0
equal,0,-3,0.0,0.0
equal,0,-2,0.0,0.0
equal,0,-1,0.0,0.0
equal,0,0,0.0,1.0
equal,0,1,0.0,0.0
equal,0,2,0.0,0.0
equal,0,3,0.0,0.0
equal,0,4,0.0,0.0
equal,1,-4,0.0,0.0
equal,1,-3,0.0,0.0
equal,1,-2,0.0,0.0
equal,1,-1,0.0,0.0
equal,1,0,0.0,0.9999999998028277
equal,1,1,0.0,0.0
equal,1,2,0.0,0.0
equal,1,3,0.0,0.0
equal,1,4,0.0,0.0
equal,2,-4,0.0,0.0
equal,2,-3,0.0,0.0
equal,2,-2,0.0,0.0
equal,2,-1,0.0,0.0
equal,2,0,0.0,0.9999999996056554
equal,2,1,0.0,0.0
equal,2,2,0.0,0.0
equal,2,3,0.0,0.0
equal,2,4,0.0,0.0
equal,3,-4,0.0,0.0
equal,3,-3,0.0,0.0
equal,3,-2,0.0,0.0
equal,3,-1,0.0,0.0
equal,3,0,0.0,0.9999999994084832
equal,3,1,0.0,0.0
equal,3,2,0.0,0.0
equal,3,3,0.0,0.0
equal,3,4,0.0,0.0
counter,0,-4,0.0,0.0
counter,0,-3,0.0,0.0
counter,0,-2,0.0,0.0
counter,0,-1,0.0,0.0
counter,0,0,0.0,1.0
counter,0,1,0.0,0.0
counter,0,2,0.0,0.0
counter,0,3,0.0,0.0
counter,0,4,0.0,0.0
counter,1,-4,0.0,0.0
counter,1,-3,0.0,0.0
counter,1,-2,0.0,0.0
counter,1,-1,0.04623278971906662,0.1266067164753207
counter,1,0,0.023709122927734243,0.6799945806021566
counter,1,1,0.04623278971906662,0.07722400041849657
counter,1,2,0.0,0.0
counter,1,3,0.0,0.0
counter,1,4,0.0,0.0
counter,2,-4,0.0,0.0
counter,2,-3,0.0,0.0
counter,2,-2,0.004551769853950869,0.010742077964295249
counter,2,-1,0.030826535416545016,0.2016612770471668
counter,2,0,0.020640105089626846,0.5937366551914768
counter,2,1,0.03082653541654502,0.09609086671603735
counter,2,2,0.00455176985395087,0.006372407158971302
counter,2,3,0.0,0.0
counter,2,4,0.0,0.0
counter,3,-4,0.0,0.0
counter,3,-3,0.0006593921325681746,0.0013610400955195497
counter,3,-2,0.01644341852043435,0.010884613671303684
counter,3,-1,0.032390849765022975,0.22151974401971794
counter,3,0,0.06412552702408691,0.4968017008279786
counter,3,1,0.032390849765022975,0.09667786488323375
counter,3,2,0.01644341852043435,0.008858414468923237
counter,3,3,0.0006593921325681745,0.0007837737446230779
counter,3,4,0.0,0.0
