sample,condition_j,det_x,g_xy,det_transform_error,g_transform_error,sl_error,observer_det_error,observer_norm,observer_norm_transformed,norm_transform_error,norm_identity_error,projector_error,projector_trace_error,weighted_ray_error,euclidean_error,euclidean_min_eigenvalue
0,7.634065798728064,-2.0310639588344173,-2.63910958644645,1.0907959887337945e-16,0.0,2.2887833992611187e-16,6.533078335796124e-17,5.516171717467675,5.5161717174676745,1.6101355526833814e-16,1.6101355526833814e-16,1.6042758721192724e-16,1.1102230246251565e-16,1.7877208477125e-16,8.552630933587331e-16,0.1309917973416752
1,6.630906560970245,-0.980078932036155,0.7015441594379691,0.0,2.1556362984731315e-17,1.1102230246251565e-16,2.482534153247273e-16,3.6306605423639566,3.630660542363958,3.6694910306396646e-16,1.223163676879888e-16,1.2255630681222564e-16,0.0,2.1750067281925355e-16,3.991318109020527e-16,0.15080894155348673
2,3.1998506052493076,-1.8161512524919305,-0.7794995250683776,9.087169510808008e-17,0.0,1.1102230246251565e-16,1.2236677334236344e-16,0.7984757638438512,0.7984757638438512,0.0,2.220446049250313e-16,3.883155823858242e-17,0.0,1.0081988604324806e-16,3.7827554125609796e-16,0.3125145900122699
3,72.24756434472444,-1.0845686766414988,0.27185393487583653,6.853718062944059e-17,0.0,2.482534153247273e-16,1.1102230246251565e-15,19.84192261010036,19.841922610100326,1.7905087871837695e-15,1.4324070297470155e-15,1.3837429746810488e-16,0.0,1.3073486953830998e-16,3.652347069246003e-14,0.013841297060601221
4,4.65961081838798,-2.4033551304636016,0.45271758866604483,5.661222549056346e-17,1.1971835071047363e-17,5.551115123125783e-17,1.111974411051085e-16,3.9334820474020784,3.933482047402079,1.128997678134485e-16,4.51599071253794e-16,1.1694661561761242e-16,1.1102230246251565e-16,2.068322484479094e-16,1.1172134531090095e-15,0.2146101979276367
5,4.523390866259949,-1.5562386653557598,0.7624675175768816,3.3888198109542077e-16,1.5930232105908466e-16,3.3306690738754696e-16,1.1102230246251565e-16,10.373348371411945,10.373348371411947,1.7124237765847497e-16,3.4248475531694994e-16,5.722918850720013e-17,0.0,1.0437756937773453e-16,8.520922724763949e-16,0.22107309086619406
6,4.057946375523417,-4.037838137372412,2.4988854406097305,1.1037052363815271e-16,2.0482356303161634e-16,2.2247786310271853e-16,8.969587205833281e-18,5.460115492769256,5.460115492769252,6.506663977172833e-16,1.6266659942932082e-16,1.189495033574822e-16,2.220446049250313e-16,2.447971747727008e-16,1.4865462686357906e-16,0.24643006768935427
7,8.356741153276458,-1.4846885725201813,0.5699468490940502,4.1407698317722734e-16,1.0275125628607004e-16,2.482534153247273e-16,5.795534335168189e-16,2.401101846222752,2.4011018462227525,1.849522587093393e-16,3.699045174186786e-16,6.020320242010684e-17,0.0,1.4554283562932005e-16,1.2308277838145652e-15,0.11966387155690733
8,4.50288669702367,-2.9033483273940703,1.252393047838222,5.338531274509236e-17,4.3701519856602064e-17,1.1102230246251565e-16,2.223019766921856e-16,1.09164457628696,1.09164457628696,0.0,4.0680750813653576e-16,7.238001561606811e-17,0.0,2.398037553219177e-16,1.5182967942989479e-16,0.22207976067019053
9,8.39368854612179,-1.4227157773446129,1.1883211015469546,1.0179055779922148e-16,1.7140013418433763e-16,2.482534153247273e-16,6.866350197783357e-16,5.545964935366053,5.545964935366053,0.0,6.405943276246137e-16,1.266669132005458e-16,1.1102230246251565e-16,1.6838951819063944e-16,1.1907172964428615e-15,0.11913713434864526
