waveform,time,a,a_dot
broad,0.0,0.0,0.0
broad,0.025,0.0,0.0
broad,0.05,0.0,0.0
broad,0.075,0.0,0.0
broad,0.1,0.0,0.0
broad,0.125,0.0,0.0
broad,0.15,0.0,0.0
broad,0.17500000000000002,0.0,0.0
broad,0.2,0.0,0.0
broad,0.225,0.0,0.0
broad,0.25,0.0,0.0
broad,0.275,0.0,0.0
broad,0.3,0.0,0.0
broad,0.325,0.0,0.0
broad,0.35000000000000003,0.0,0.0
broad,0.375,0.0,0.0
broad,0.4,0.0,0.0
broad,0.425,0.0,0.0
broad,0.45,0.0,0.0
broad,0.47500000000000003,0.0,0.0
broad,0.5,0.0,0.0
broad,0.525,0.0,0.0
broad,0.55,0.0,0.0
broad,0.5750000000000001,0.0,0.0
broad,0.6,0.0,0.0
broad,0.625,0.0,0.0
broad,0.65,0.0,0.0
broad,0.675,0.0,0.0
broad,0.7000000000000001,0.0,0.0
broad,0.725,0.0,0.0
broad,0.75,0.0,0.0
broad,0.775,0.0,0.0
broad,0.8,0.0,0.0
broad,0.8250000000000001,0.0,0.0
broad,0.85,0.0,0.0
broad,0.875,0.0,0.0
broad,0.9,0.0,0.0
broad,0.925,0.0,0.0
broad,0.9500000000000001,0.0,0.0
broad,0.975,0.0,0.0
broad,1.0,0.0,0.0
broad,1.025,0.0,0.0
broad,1.05,0.0,0.0
broad,1.075,0.0,0.0
broad,1.1,0.0,0.0
broad,1.125,0.0,0.0
broad,1.1500000000000001,0.0,0.0
broad,1.175,0.0,0.0
broad,1.2,0.0,0.0
broad,1.225,0.0,0.0
broad,1.25,0.0,0.0
broad,1.2750000000000001,0.0,0.0
broad,1.3,0.0,0.0
broad,1.325,0.0,0.0
broad,1.35,0.0,0.0
broad,1.375,0.0,0.0
broad,1.4000000000000001,0.0,3e-323
broad,1.425,3.064e-320,1.6241124e-317
broad,1.45,1.358037575e-314,7.04767794149e-312
broad,1.475,4.62688651908579e-309,2.3518521228164594e-306
broad,1.5,1.2235847788537757e-303,6.09404174947825e-301
broad,1.5250000000000001,2.5345583813349863e-298,1.2373101857651246e-295
broad,1.55,4.147792065244401e-293,1.9853860418229263e-290
broad,1.575,5.406153032871273e-288,2.5380920533257966e-285
broad,1.6,5.6549641322145365e-283,2.6047878158633404e-280
broad,1.625,4.7815983503745525e-278,2.161548502580422e-275
broad,1.6500000000000001,3.290645627801516e-273,1.4603005743388315e-270
broad,1.675,1.8550715837768474e-268,8.083607318229588e-266
broad,1.7,8.61932531645464e-264,3.689011252318416e-261
broad,1.725,3.3200548327530936e-259,1.3959756860679798e-256
broad,1.75,1.0660485902855132e-254,4.404579287013572e-252
broad,1.7750000000000001,2.868476652424027e-250,1.164844667901159e-247
broad,1.8,6.500416251581217e-246,2.5949995464670884e-243
broad,1.825,1.2465700737088154e-241,4.893035236712205e-239
broad,1.85,2.0321312033480927e-237,7.84442611438867e-235
broad,1.875,2.8283281903333876e-233,1.073904392102159e-230
broad,1.9000000000000001,3.374811455318593e-229,1.2606276490039147e-226
broad,1.925,3.4660095527453544e-225,1.2739147179096972e-222
broad,1.95,3.0754899873454846e-221,1.1124149522993345e-218
broad,1.975,2.3663351406625174e-217,8.424346694735176e-215
broad,2.0,1.5842433584968904e-213,5.552032770998574e-211
broad,2.025,9.259650334580947e-210,3.194881396530133e-207
broad,2.05,4.73999788881945e-206,1.610369479970637e-203
broad,2.075,2.1315724365062088e-202,7.131638716230548e-200
broad,2.1,8.445680409349492e-199,2.7830299673270623e-196
broad,2.125,2.9566879898197898e-195,9.596933642769394e-193
broad,2.15,9.170403869631368e-192,2.93228823549634e-189
broad,2.1750000000000003,2.526468454262367e-188,7.959182973615499e-186
broad,2.2,6.198247301613146e-185,1.923990726157848e-182
broad,2.225,1.357374274606305e-181,4.1519690842074654e-179
broad,2.25,2.6595799362682614e-178,8.017277048146253e-176
broad,2.275,4.672819780992563e-175,1.3883186862064466e-172
broad,2.3000000000000003,7.377886203509116e-172,2.1605952034493768e-169
broad,2.325,1.0489925432945379e-168,3.028156547162108e-166
broad,2.35,1.3457634196038683e-165,3.829750025937886e-163
broad,2.375,1.5608402408924617e-162,4.379106221793868e-160
broad,2.4,1.6396446022295436e-159,4.5355488569691154e-157
broad,2.4250000000000003,1.5628687692902045e-156,4.262670905451247e-154
broad,2.45,1.3540349679324466e-153,3.6416040374663635e-151
broad,2.475,1.068068500323879e-150,2.832619419682371e-148
broad,2.5,7.6830343798013e-148,2.0094133317985687e-145
broad,2.525,5.047888973024979e-145,1.3020065711606666e-142
broad,2.5500000000000003,3.0337958301645236e-142,7.71746245639241e-140
broad,2.575,1.6703090344062546e-139,4.1906959074263253e-137
broad,2.6,8.436351694692345e-137,2.087660798924679e-134
broad,2.625,3.9142918265020446e-134,9.554053458594527e-132
broad,2.65,1.6705764596211833e-131,4.021997241620478e-129
broad,2.6750000000000003,6.566734677848454e-129,1.559466494219295e-126
broad,2.7,2.380345084225462e-126,5.576046436670603e-124
broad,2.725,7.966321280731492e-124,1.8408201736437396e-121
broad,2.75,2.4643738561977326e-121,5.617368727990368e-119
