case,time,actual_cycles,second_cycles,fourth_cycles,actual_a,predicted_a
base-broad,0.0,0.0,0.0,0.0,0.0,0.0
base-broad,0.025,0.0,0.0,0.0,0.0,0.0
base-broad,0.05,0.0,0.0,0.0,0.0,0.0
base-broad,0.075,0.0,0.0,0.0,0.0,0.0
base-broad,0.1,0.0,0.0,0.0,0.0,0.0
base-broad,0.125,0.0,0.0,0.0,0.0,0.0
base-broad,0.15,0.0,0.0,0.0,0.0,0.0
base-broad,0.17500000000000002,0.0,0.0,0.0,0.0,0.0
base-broad,0.2,0.0,0.0,0.0,0.0,0.0
base-broad,0.225,0.0,0.0,0.0,0.0,0.0
base-broad,0.25,0.0,0.0,0.0,0.0,0.0
base-broad,0.275,0.0,0.0,0.0,0.0,0.0
base-broad,0.3,0.0,0.0,0.0,0.0,0.0
base-broad,0.325,0.0,0.0,0.0,0.0,0.0
base-broad,0.35000000000000003,0.0,0.0,0.0,0.0,0.0
base-broad,0.375,0.0,0.0,0.0,0.0,0.0
base-broad,0.4,0.0,0.0,0.0,0.0,0.0
base-broad,0.425,0.0,0.0,0.0,0.0,0.0
base-broad,0.45,0.0,0.0,0.0,0.0,0.0
base-broad,0.47500000000000003,-4.231259480103904e-18,0.0,0.0,0.0,0.0
base-broad,0.5,0.0,0.0,0.0,0.0,0.0
base-broad,0.525,0.0,0.0,0.0,0.0,0.0
base-broad,0.55,0.0,0.0,0.0,0.0,0.0
base-broad,0.5750000000000001,0.0,0.0,0.0,0.0,0.0
base-broad,0.6,0.0,0.0,0.0,0.0,0.0
base-broad,0.625,0.0,0.0,0.0,0.0,0.0
base-broad,0.65,0.0,0.0,0.0,0.0,0.0
base-broad,0.675,0.0,0.0,0.0,0.0,0.0
base-broad,0.7000000000000001,0.0,0.0,0.0,0.0,0.0
base-broad,0.725,0.0,0.0,0.0,0.0,0.0
base-broad,0.75,0.0,0.0,0.0,0.0,0.0
base-broad,0.775,0.0,0.0,0.0,0.0,0.0
base-broad,0.8,0.0,0.0,0.0,0.0,0.0
base-broad,0.8250000000000001,0.0,0.0,0.0,0.0,0.0
base-broad,0.85,0.0,0.0,0.0,0.0,0.0
base-broad,0.875,0.0,0.0,0.0,0.0,0.0
base-broad,0.9,0.0,0.0,0.0,0.0,0.0
base-broad,0.925,0.0,0.0,0.0,0.0,0.0
base-broad,0.9500000000000001,0.0,0.0,0.0,0.0,0.0
base-broad,0.975,0.0,0.0,0.0,0.0,0.0
base-broad,1.0,0.0,0.0,0.0,0.0,0.0
base-broad,1.025,0.0,0.0,0.0,0.0,0.0
base-broad,1.05,0.0,0.0,0.0,0.0,0.0
base-broad,1.075,0.0,0.0,0.0,0.0,0.0
base-broad,1.1,0.0,0.0,0.0,0.0,0.0
base-broad,1.125,-7.714256189451853e-18,0.0,0.0,0.0,0.0
base-broad,1.1500000000000001,0.0,0.0,0.0,0.0,0.0
base-broad,1.175,0.0,0.0,0.0,0.0,0.0
base-broad,1.2,7.590969164107647e-18,0.0,0.0,0.0,0.0
base-broad,1.225,7.548251062193847e-18,0.0,0.0,0.0,0.0
base-broad,1.25,0.0,0.0,0.0,0.0,0.0
base-broad,1.2750000000000001,0.0,0.0,0.0,0.0,0.0
base-broad,1.3,0.0,0.0,0.0,0.0,0.0
base-broad,1.325,0.0,0.0,0.0,0.0,0.0
base-broad,1.35,0.0,0.0,0.0,0.0,0.0
base-broad,1.375,0.0,0.0,0.0,0.0,0.0
base-broad,1.4000000000000001,0.0,0.0,0.0,0.0,0.0
base-broad,1.425,0.0,0.0,0.0,0.0,0.0
base-broad,1.45,0.0,0.0,0.0,0.0,0.0
base-broad,1.475,0.0,0.0,0.0,0.0,0.0
base-broad,1.5,0.0,0.0,0.0,0.0,0.0
base-broad,1.5250000000000001,0.0,0.0,0.0,0.0,0.0
base-broad,1.55,0.0,0.0,0.0,0.0,0.0
