case,time,source_a,inverse_a
finest-broad,0.0,0.0,0.0
finest-broad,0.025,0.0,0.0
finest-broad,0.05,0.0,0.0
finest-broad,0.075,0.0,0.0
finest-broad,0.1,0.0,0.0
finest-broad,0.125,0.0,0.0
finest-broad,0.15,0.0,0.0
finest-broad,0.17500000000000002,0.0,0.0
finest-broad,0.2,0.0,0.0
finest-broad,0.225,0.0,0.0
finest-broad,0.25,0.0,0.0
finest-broad,0.275,0.0,0.0
finest-broad,0.3,0.0,0.0
finest-broad,0.325,0.0,0.0
finest-broad,0.35000000000000003,0.0,0.0
finest-broad,0.375,0.0,0.0
finest-broad,0.4,0.0,0.0
finest-broad,0.425,0.0,0.0
finest-broad,0.45,0.0,0.0
finest-broad,0.47500000000000003,0.0,0.0
finest-broad,0.5,0.0,0.0
finest-broad,0.525,0.0,0.0
finest-broad,0.55,0.0,0.0
finest-broad,0.5750000000000001,0.0,0.0
finest-broad,0.6,0.0,0.0
finest-broad,0.625,0.0,0.0
finest-broad,0.65,0.0,0.0
finest-broad,0.675,0.0,0.0
finest-broad,0.7000000000000001,0.0,0.0
finest-broad,0.725,0.0,0.0
finest-broad,0.75,0.0,0.0
finest-broad,0.775,0.0,0.0
finest-broad,0.8,0.0,0.0
finest-broad,0.8250000000000001,0.0,0.0
finest-broad,0.85,0.0,0.0
finest-broad,0.875,0.0,0.0
finest-broad,0.9,0.0,0.0
finest-broad,0.925,0.0,0.0
finest-broad,0.9500000000000001,0.0,0.0
finest-broad,0.975,0.0,0.0
finest-broad,1.0,0.0,0.0
finest-broad,1.025,0.0,0.0
finest-broad,1.05,0.0,0.0
finest-broad,1.075,0.0,0.0
finest-broad,1.1,0.0,0.0
finest-broad,1.125,0.0,0.0
finest-broad,1.1500000000000001,0.0,0.0
finest-broad,1.175,0.0,0.0
finest-broad,1.2,0.0,0.0
finest-broad,1.225,0.0,0.0
finest-broad,1.25,0.0,0.0
finest-broad,1.2750000000000001,0.0,0.0
finest-broad,1.3,0.0,0.0
finest-broad,1.325,0.0,0.0
finest-broad,1.35,0.0,0.0
finest-broad,1.375,0.0,0.0
finest-broad,1.4000000000000001,0.0,0.0
finest-broad,1.425,0.0,0.0
finest-broad,1.45,0.0,0.0
finest-broad,1.475,0.0,0.0
finest-broad,1.5,0.0,0.0
finest-broad,1.5250000000000001,0.0,0.0
finest-broad,1.55,0.0,0.0
finest-broad,1.575,0.0,0.0
finest-broad,1.6,0.0,0.0
finest-broad,1.625,0.0,0.0
finest-broad,1.6500000000000001,0.0,0.0
finest-broad,1.675,0.0,0.0
finest-broad,1.7,0.0,0.0
finest-broad,1.725,0.0,0.0
finest-broad,1.75,0.0,0.0
finest-broad,1.7750000000000001,0.0,0.0
finest-broad,1.8,0.0,0.0
finest-broad,1.825,0.0,0.0
finest-broad,1.85,0.0,0.0
finest-broad,1.875,0.0,0.0
finest-broad,1.9000000000000001,0.0,0.0
finest-broad,1.925,0.0,0.0
finest-broad,1.95,0.0,0.0
finest-broad,1.975,0.0,0.0
finest-broad,2.0,0.0,0.0
finest-broad,2.025,0.0,0.0
finest-broad,2.05,0.0,0.0
finest-broad,2.075,0.0,0.0
finest-broad,2.1,0.0,0.0
finest-broad,2.125,0.0,0.0
finest-broad,2.15,0.0,0.0
finest-broad,2.1750000000000003,0.0,0.0
finest-broad,2.2,0.0,0.0
finest-broad,2.225,0.0,0.0
finest-broad,2.25,0.0,0.0
finest-broad,2.275,0.0,0.0
finest-broad,2.3000000000000003,0.0,0.0
finest-broad,2.325,0.0,0.0
finest-broad,2.35,0.0,0.0
finest-broad,2.375,0.0,0.0
finest-broad,2.4,0.0,0.0
finest-broad,2.4250000000000003,0.0,0.0
finest-broad,2.45,0.0,0.0
finest-broad,2.475,0.0,0.0
finest-broad,2.5,0.0,0.0
finest-broad,2.525,0.0,0.0
finest-broad,2.5500000000000003,0.0,0.0
finest-broad,2.575,0.0,0.0
finest-broad,2.6,0.0,0.0
finest-broad,2.625,0.0,0.0
finest-broad,2.65,0.0,0.0
finest-broad,2.6750000000000003,0.0,0.0
finest-broad,2.7,0.0,0.0
finest-broad,2.725,0.0,0.0
finest-broad,2.75,0.0,0.0
finest-broad,2.775,0.0,0.0
finest-broad,2.8000000000000003,0.0,0.0
finest-broad,2.825,0.0,0.0
finest-broad,2.85,0.0,0.0
finest-broad,2.875,0.0,0.0
finest-broad,2.9,0.0,0.0
finest-broad,2.9250000000000003,0.0,0.0
finest-broad,2.95,0.0,0.0
finest-broad,2.975,0.0,0.0
finest-broad,3.0,0.0,0.0
finest-broad,3.025,0.0,0.0
finest-broad,3.0500000000000003,0.0,0.0
finest-broad,3.075,0.0,0.0
finest-broad,3.1,0.0,0.0
finest-broad,3.125,0.0,0.0
finest-broad,3.15,0.0,0.0
finest-broad,3.1750000000000003,0.0,0.0
finest-broad,3.2,0.0,0.0
finest-broad,3.225,0.0,0.0
finest-broad,3.25,0.0,0.0
finest-broad,3.275,0.0,0.0
finest-broad,3.3000000000000003,0.0,0.0
finest-broad,3.325,0.0,0.0
finest-broad,3.35,0.0,0.0
finest-broad,3.375,0.0,0.0
finest-broad,3.4,0.0,0.0
finest-broad,3.4250000000000003,0.0,0.0
finest-broad,3.45,0.0,0.0
finest-broad,3.475,0.0,0.0
finest-broad,3.5,0.0,0.0
finest-broad,3.525,0.0,0.0
finest-broad,3.5500000000000003,0.0,0.0
finest-broad,3.575,0.0,0.0
finest-broad,3.6,0.0,0.0
finest-broad,3.625,0.0,0.0
finest-broad,3.65,0.0,0.0
finest-broad,3.6750000000000003,0.0,0.0
finest-broad,3.7,0.0,0.0
finest-broad,3.725,0.0,0.0
finest-broad,3.75,0.0,0.0
finest-broad,3.775,0.0,0.0
finest-broad,3.8000000000000003,0.0,0.0
finest-broad,3.825,0.0,0.0
finest-broad,3.85,0.0,0.0
finest-broad,3.875,0.0,0.0
finest-broad,3.9,0.0,0.0
finest-broad,3.9250000000000003,0.0,0.0
finest-broad,3.95,0.0,0.0
finest-broad,3.975,0.0,0.0
finest-broad,4.0,0.0,0.0
finest-broad,4.025,0.0,0.0
finest-broad,4.05,0.0,0.0
finest-broad,4.075,0.0,0.0
finest-broad,4.1,0.0,0.0
finest-broad,4.125,0.0,0.0
finest-broad,4.15,0.0,0.0
finest-broad,4.175,0.0,0.0
finest-broad,4.2,0.0,0.0
finest-broad,4.225,0.0,0.0
finest-broad,4.25,0.0,0.0
finest-broad,4.275,0.0,0.0
finest-broad,4.3,0.0,0.0
finest-broad,4.325,0.0,0.0
finest-broad,4.3500000000000005,0.0,0.0
finest-broad,4.375,0.0,0.0
finest-broad,4.4,0.0,0.0
finest-broad,4.425,0.0,0.0
finest-broad,4.45,0.0,0.0
finest-broad,4.4750000000000005,0.0,0.0
finest-broad,4.5,0.0,0.0
finest-broad,4.525,0.0,0.0
finest-broad,4.55,0.0,0.0
finest-broad,4.575,0.0,0.0
finest-broad,4.6000000000000005,0.0,0.0
finest-broad,4.625,0.0,0.0
finest-broad,4.65,0.0,0.0
finest-broad,4.675,0.0,0.0
finest-broad,4.7,0.0,0.0
