grid,case,start,end,predicted_start,predicted_end,record_cycles,prediction_cycles
base,quiet,,,,,,
base,half,14.843768471033309,39.61555983629063,14.826901759079556,39.61133338693296,4.090739353985975e-09,3.6516462887372696e-09
base,single,14.738029024209714,41.475579983332956,14.72013378442835,41.4788617543391,-3.904347326789713e-09,-4.0579835337898776e-09
base,double,14.637573651633243,42.9564688498432,14.6184760283687,42.93145085624581,7.710729611035728e-08,7.243655602566031e-08
base,negative,14.738029024209714,41.475579983332956,14.72013378442835,41.4788617543391,-3.904347326789713e-09,-4.0579835337898776e-09
base,second,22.577971310900047,50.28753002081668,22.473115025314378,50.21265661074333,4.3140533524270244e-08,3.411312110182994e-08
base,both,14.738029024209714,50.67116672309579,14.720345080699744,50.592203397921985,-6.475872992371329e-08,-6.65968339698382e-08
base,both-negative,14.738029024209714,50.67116672309579,14.720345080699744,50.592203397921985,-6.475872992371329e-08,-6.65968339698382e-08
base,phase-quiet,,,,,,
base,phase,14.738029024069247,41.475579785291714,14.720133784309764,41.47886159253885,-1.4029055455276427e-07,-1.4100691790850126e-07
fine,quiet,,,,,,
fine,half,15.028722774502569,39.613118119902936,15.022241008417769,39.612798013047346,4.328021557252691e-09,4.250345022634443e-09
fine,single,14.952382910550739,41.47439177216111,14.943319733177779,41.47402213702776,-4.4402651774238635e-09,-4.679049843412791e-09
fine,double,14.888977235794263,42.95030205795129,14.875443094124218,42.94994727066084,7.308912546447755e-08,6.932010255739387e-08
fine,negative,14.952382910550739,41.47439177216111,14.943319733177779,41.47402213702776,-4.4402651774238635e-09,-4.679049843412791e-09
fine,second,22.861721530431577,50.27136859242759,22.812838462335527,50.270685845041406,4.029939377612517e-08,3.9089534063431675e-08
fine,both,14.952382910550739,50.6586386310648,14.94361413389606,50.657990628669786,-6.785230248001914e-08,-6.863792010180858e-08
fine,both-negative,14.952382910550739,50.6586386310648,14.94361413389606,50.657990628669786,-6.785230248001914e-08,-6.863792010180858e-08
fine,phase-quiet,,,,,,
fine,phase,14.952382910360745,41.474391608224146,14.943319733001504,41.47402197320145,-1.3993471987300666e-07,-1.40229278684275e-07
finer,quiet,,,,,,
finer,half,15.110775454767339,39.61196433918686,15.108934689316653,39.61134217564052,4.350585926241552e-09,4.277378499267883e-09
finer,single,15.047185476412535,41.47436513594223,15.043793888834262,41.47408007525561,-4.567289260047866e-09,-4.83926351554666e-09
finer,double,15.00551311226822,42.95065002969422,15.003253748949529,42.95046143014499,7.228179574571147e-08,6.831743240677162e-08
finer,negative,15.047185476412535,41.47436513594223,15.043793888834262,41.47408007525561,-4.567289260047866e-09,-4.83926351554666e-09
finer,second,23.00566906604739,50.27147260220292,22.978357539785957,50.271175298798624,4.008876727588823e-08,3.8817361788681895e-08
finer,both,15.047185476412535,50.65894113491635,15.044058778316929,50.65853281970089,-6.850352311098256e-08,-6.959536196916407e-08
finer,both-negative,15.047185476412535,50.65894113491635,15.044058778316929,50.65853281970089,-6.850352311098256e-08,-6.959536196916407e-08
finer,phase-quiet,,,,,,
finer,phase,15.047185476247847,41.47436497272225,15.043793888674362,41.47407991198976,-1.3986456870653478e-07,-1.401149344409711e-07
time,quiet,,,,,,
time,half,14.84376117366776,39.615717185074,14.826895366941123,39.61186319507319,4.101672694838877e-09,3.6872066951184047e-09
time,single,14.738017922557846,41.47651812850296,14.720124245537884,41.47872096502218,-3.915900948772291e-09,-4.056258353651916e-09
time,double,14.637557934598613,42.956792772104116,14.618462823980217,42.9317388903221,7.712858185846911e-08,7.24567868003759e-08
time,negative,14.738017922557846,41.47651812850296,14.720124245537884,41.47872096502218,-3.915900948772291e-09,-4.056258353651916e-09
time,second,22.577953789466875,50.28778594456968,22.473100073620934,50.20946646840632,4.31689367439741e-08,3.3758754706780304e-08
time,both,14.738017922557846,50.67130675965893,14.720336562542565,50.59097062029421,-6.475528868079298e-08,-6.666176708601553e-08
time,both-negative,14.738017922557846,50.67130675965893,14.720336562542565,50.59097062029421,-6.475528868079298e-08,-6.666176708601553e-08
time,phase-quiet,,,,,,
time,phase,14.73801792241739,41.47651792856193,14.72012424541931,41.478720804193564,-1.4034890094163005e-07,-1.4099831860472188e-07
wide,quiet,,,,,,
wide,half,14.843768471033309,39.61555983629063,14.826901759079556,39.61133338693296,4.09100870503734e-09,3.6516462888199364e-09
wide,single,14.738029024209714,41.47557998333284,14.72013378442835,41.478861754339306,-3.904378116323239e-09,-4.057983533836861e-09
wide,double,14.637573651633243,42.95646884984532,14.6184760283687,42.93145085624576,7.710721548519434e-08,7.243655602602431e-08
wide,negative,14.738029024209714,41.47557998333284,14.72013378442835,41.478861754339306,-3.904378116323239e-09,-4.057983533836861e-09
wide,second,22.577971310900047,50.287530020812646,22.473115025314378,50.21265661076216,4.3140539500094755e-08,3.411312110379535e-08
wide,both,14.738029024209714,50.67116672309522,14.720345080699744,50.59220339792255,-6.475875268896824e-08,-6.659683397024969e-08
wide,both-negative,14.738029024209714,50.67116672309522,14.720345080699744,50.59220339792255,-6.475875268896824e-08,-6.659683397024969e-08
wide,phase-quiet,,,,,,
wide,phase,14.738029024069247,41.47557978529152,14.720133784309764,41.4788615925426,-1.4029042421260836e-07,-1.4100691790905183e-07
