time,pulse,a,a_t,a_r,incoming,outgoing
0.0,0,0.0,0.0,0.0,0.0,0.0
0.0,1,0.0,0.0,0.0,0.0,0.0
0.02,0,0.0,0.0,0.0,0.0,0.0
0.02,1,0.0,0.0,0.0,0.0,0.0
0.04,0,0.0,0.0,0.0,0.0,0.0
0.04,1,0.0,0.0,0.0,0.0,0.0
0.06,0,0.0,0.0,0.0,0.0,0.0
0.06,1,0.0,0.0,0.0,0.0,0.0
0.08,0,0.0,0.0,0.0,0.0,0.0
0.08,1,0.0,0.0,0.0,0.0,0.0
0.1,0,0.0,0.0,6.351358089939016e-26,4.445950662957311e-25,-4.445950662957311e-25
0.1,1,0.0,0.0,0.0,0.0,0.0
0.12,0,7.004650595205387e-27,3.2869141163318693e-24,6.019527704243841e-23,4.443788404366896e-22,-3.983620428080434e-22
0.12,1,0.0,0.0,0.0,0.0,0.0
0.14,0,1.4110323875398597e-24,3.588642218094803e-22,4.040788989853479e-21,3.079827799783449e-20,-2.5774178892501762e-20
0.14,1,0.0,0.0,0.0,0.0,0.0
0.16,0,6.551443805140816e-23,1.2199599301218833e-20,1.0433570295143996e-19,8.157798729876372e-19,-6.449854827705736e-19
0.16,1,0.0,0.0,0.0,0.0,0.0
0.18,0,1.4624448644104545e-21,2.202260619479847e-19,1.5513975229000762e-18,1.2402096316368632e-17,-9.318931449096846e-18
0.18,1,0.0,0.0,0.0,0.0,0.0
0.2,0,2.0510701141603194e-20,2.624398840796885e-18,1.5896259622836063e-17,1.2965486459600144e-16,-9.291328082484505e-17
0.2,1,0.0,0.0,0.0,0.0,0.0
0.22,0,2.069517007752028e-19,2.3175037455482824e-17,1.2395470095918035e-16,1.0300116447530298e-15,-7.055611203762703e-16
0.22,1,0.0,0.0,0.0,0.0,0.0
0.24,0,1.6278001906756639e-18,1.627040517473127e-16,7.825633011760482e-16,6.617685370558864e-15,-4.339828646096486e-15
0.24,1,0.0,0.0,0.0,0.0,0.0
0.26,0,1.0517049135501551e-17,9.515572709871057e-16,4.170557911977795e-15,3.586006480532206e-14,-2.2538263011502578e-14
0.26,1,0.0,0.0,0.0,0.0,0.0
0.28,0,5.788175655232238e-17,4.790718445746849e-15,1.9328493959791404e-14,1.6886342771704394e-13,-1.0179336947658804e-13
0.28,1,0.0,0.0,0.0,0.0,0.0
0.3,0,2.786466946840908e-16,2.127115106571216e-14,7.9635933019322e-14,7.064889119425812e-13,-4.0869279702261094e-13
0.3,1,0.0,0.0,0.0,0.0,0.0
0.32,0,1.197080052760512e-15,8.483778060480942e-14,2.9666189330939294e-13,2.6710962574257967e-12,-1.483367328958465e-12
0.32,1,0.0,0.0,0.0,0.0,0.0
0.34,0,4.6612561257793396e-15,3.083419313620462e-13,1.0125506163635843e-12,9.248578462142303e-12,-4.931791423073655e-12
0.34,1,0.0,0.0,0.0,0.0,0.0
0.36,0,1.6655636692098067e-14,1.0330010706532028e-12,3.2003203326793655e-12,2.9641577641674025e-11,-1.5179562652529186e-11
0.36,1,0.0,0.0,0.0,0.0,0.0
0.38,0,5.516279700922229e-14,3.219901038338792e-12,9.448456478822922e-12,8.870608401863661e-11,-4.362746948189352e-11
0.38,1,0.0,0.0,0.0,0.0,0.0
0.4,0,1.7074057704288114e-13,9.410224703826517e-12,2.62445713093475e-11,2.4966894238073955e-10,-1.179257965271683e-10
0.4,1,0.0,0.0,0.0,0.0,0.0
0.42,0,4.97299581176348e-13,2.5951849196138423e-11,6.899944296310175e-11,6.649076949052694e-10,-3.0158180615933145e-10
0.42,1,0.0,0.0,0.0,0.0,0.0
0.44,0,1.370914031649247e-12,6.790654505583157e-11,1.7258251530835243e-10,1.6841088795651125e-09,-7.334172487834706e-10
0.44,1,0.0,0.0,0.0,0.0,0.0
0.46,0,3.5946936698446413e-12,1.6937505181660545e-10,4.124685961732766e-10,4.074702882764097e-09,-1.7034521573316204e-09
0.46,1,0.0,0.0,0.0,0.0,0.0
0.48,0,9.003718479588973e-12,4.0431683092990207e-10,9.455091181740716e-10,9.45328350296761e-09,-3.792847869948981e-09
0.48,1,0.0,0.0,0.0,0.0,0.0
0.5,0,2.1621895477772255e-11,9.269147023343758e-10,2.085669611917759e-09,2.109890114750383e-08,-8.12209531482257e-09
0.5,1,0.0,0.0,0.0,0.0,0.0
0.52,0,4.9943399751992165e-11,2.047031184224087e-09,4.439940152529543e-09,4.54337710571514e-08,-1.6775334478014187e-08
0.52,1,0.0,0.0,0.0,0.0,0.0
0.54,0,1.1127721976386814e-10,4.366548463119801e-09,9.14447507001422e-09,9.463280334182009e-08,-3.3501124858142866e-08
0.54,1,0.0,0.0,0.0,0.0,0.0
0.56,0,2.39754662569306e-10,9.017989926896957e-09,1.826262666747369e-08,1.9108419349187918e-07,-6.483233451532178e-08
0.56,1,0.0,0.0,0.0,0.0,0.0
0.58,0,5.006432431514335e-10,1.8069808377529193e-08,3.543695784920932e-08,3.747976852087453e-07,-1.2182036792333658e-07
0.58,1,0.0,0.0,0.0,0.0,0.0
0.6,0,1.015207217853421e-09,3.5195490581157156e-08,6.69287627175305e-08,7.153773766997403e-07,-2.2264050856354016e-07
0.6,1,0.0,0.0,0.0,0.0,0.0
