grid,case,amplitude,time,chi,delta_chi,predicted_delta_chi,delta_cycles,predicted_cycles,local_a,local_invariant,delta_density,predicted_density
base,quiet,0,0.0,0.001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,0.1,0.000999148307972942,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,0.2,0.0009965946826520516,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,0.3,0.0009923434738520179,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,0.4,0.0009864019230305559,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,0.5,0.0009787801509529841,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,0.6,0.0009694911404520784,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,0.7000000000000001,0.0009585507143126024,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,0.8,0.0009459775083182157,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,0.9,0.0009317929395067044,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,1.0,0.0009160211696876323,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,1.1,0.0008986890642845982,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,1.2,0.00087982614657224,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,1.3,0.000859464547385949,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,1.4000000000000001,0.0008376389503899923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,1.5,0.0008143865329972919,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,1.6,0.0007897469030414828,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,1.7,0.000763762031309135,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,1.8,0.0007364761800470647,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
