lambda,event,port_overlap,port1_memory_overlap,port2_memory_overlap
0,0,0.16607965291232293,0.2849076855878816,0.32197771296365557
0,1,0.3012288275716609,0.44164734117107557,0.5530552087927273
0,2,0.8382900291181564,0.06522580627517315,0.08881044492740217
0,3,0.2518326857432461,0.37546154412784655,0.523223593216164
0,4,0.3852866622036302,0.1549731387948362,0.5361098486479302
0,5,0.4535758574633761,0.15178367833393688,0.21355495814587708
0,6,0.6390131435009454,0.05996331481067367,0.15141726317449744
0,7,0.4489917770924483,0.2575382051649136,0.6415730983584258
0,8,0.4331152498604396,0.22675992373399195,0.14122235745557693
0,9,0.3197459945852784,0.7004104155852466,0.8502575475378917
0,10,0.7994229489235657,0.8868429342824984,0.8587878965852065
0,11,0.14332544792151752,0.3342445996740046,0.6363497590539801
0.1,0,0.1660796529123401,0.2849076855878808,0.32197771296363686
0.1,1,0.3012288275716601,0.44164734117107474,0.5530552087927278
0.1,2,0.8382900291181553,0.06522580627517369,0.0888104449274024
0.1,3,0.2518326857432416,0.3754615441278458,0.5232235932161666
0.1,4,0.4332124745123894,0.1490212159706957,0.531772072460876
0.1,5,0.4318188665412945,0.15443742285600262,0.21755852586948216
0.1,6,0.6394905200261792,0.05564319161580981,0.15779399952434894
0.1,7,0.44899177709245935,0.2575382051649174,0.6415730983584216
0.1,8,0.4126579175385752,0.24044773912343323,0.14204711409958795
0.1,9,0.20123021673889568,0.7000302895058841,0.7284544625448743
0.1,10,0.7998399976569197,0.8813244811673324,0.840156216117508
0.1,11,0.1433254479215145,0.3342445996739992,0.6363497590539879
