lambda,step,event,input_wire,ancestor,response
0,1e-05,0,0,1,2.3375142798062294
0,1e-05,0,1,1,2.337514279910462
0,1e-05,0,2,0,0.0
0,1e-05,0,3,0,0.0
0,1e-05,0,4,0,0.0
0,1e-05,0,5,0,0.0
0,1e-05,0,6,0,0.0
0,1e-05,0,7,0,0.0
0,1e-05,0,8,1,2.8337694828005096
0,1e-05,0,9,0,0.0
0,1e-05,0,10,0,0.0
0,1e-05,0,11,0,0.0
0,1e-05,1,0,0,0.0
0,1e-05,1,1,0,0.0
0,1e-05,1,2,1,1.3519305421133239
0,1e-05,1,3,1,1.3519305420965078
0,1e-05,1,4,0,0.0
0,1e-05,1,5,0,0.0
0,1e-05,1,6,0,0.0
0,1e-05,1,7,0,0.0
0,1e-05,1,8,0,0.0
0,1e-05,1,9,1,1.3654612989824746
0,1e-05,1,10,0,0.0
0,1e-05,1,11,0,0.0
0,1e-05,2,0,0,0.0
0,1e-05,2,1,0,0.0
0,1e-05,2,2,0,0.0
0,1e-05,2,3,0,0.0
0,1e-05,2,4,1,2.8574058028118703
0,1e-05,2,5,1,2.85740580284687
0,1e-05,2,6,0,0.0
0,1e-05,2,7,0,0.0
0,1e-05,2,8,0,0.0
0,1e-05,2,9,0,0.0
0,1e-05,2,10,1,4.360041706327007
0,1e-05,2,11,0,0.0
0,1e-05,3,0,0,0.0
0,1e-05,3,1,0,0.0
0,1e-05,3,2,0,0.0
0,1e-05,3,3,0,0.0
0,1e-05,3,4,0,0.0
0,1e-05,3,5,0,0.0
0,1e-05,3,6,1,1.3431147863447135
0,1e-05,3,7,1,1.3431147863408068
0,1e-05,3,8,0,0.0
0,1e-05,3,9,0,0.0
0,1e-05,3,10,0,0.0
0,1e-05,3,11,1,1.577547037108815
0,1e-05,4,0,1,2.032568929912425
0,1e-05,4,1,1,1.7955194342190541
0,1e-05,4,2,1,1.1012603725219765
0,1e-05,4,3,1,1.1018227587972202
0,1e-05,4,4,0,0.0
0,1e-05,4,5,0,0.0
0,1e-05,4,6,0,0.0
0,1e-05,4,7,0,0.0
0,1e-05,4,8,1,2.3624641834016415
0,1e-05,4,9,1,0.7274072285824144
0,1e-05,4,10,0,0.0
0,1e-05,4,11,0,0.0
0,1e-05,5,0,0,0.0
0,1e-05,5,1,0,0.0
0,1e-05,5,2,1,3.6074975074017517
0,1e-05,5,3,1,2.6618444791985154
0,1e-05,5,4,1,3.901030587509157
0,1e-05,5,5,1,3.474213972538133
0,1e-05,5,6,0,0.0
0,1e-05,5,7,0,0.0
0,1e-05,5,8,0,0.0
0,1e-05,5,9,1,4.229999355164869
0,1e-05,5,10,1,5.220910067861477
0,1e-05,5,11,0,0.0
0,1e-05,6,0,1,2.8730483918546654
0,1e-05,6,1,1,4.298387767142422
0,1e-05,6,2,0,0.0
0,1e-05,6,3,0,0.0
0,1e-05,6,4,1,5.766391377410252
0,1e-05,6,5,1,4.458429854732537
0,1e-05,6,6,0,0.0
0,1e-05,6,7,0,0.0
0,1e-05,6,8,1,3.7197924867304457
0,1e-05,6,9,0,0.0
0,1e-05,6,10,1,8.56783022685587
0,1e-05,6,11,0,0.0
0,1e-05,7,0,0,0.0
0,1e-05,7,1,0,0.0
0,1e-05,7,2,0,0.0
0,1e-05,7,3,0,0.0
0,1e-05,7,4,0,0.0
0,1e-05,7,5,0,0.0
0,1e-05,7,6,1,1.3062257363455438
0,1e-05,7,7,1,1.306225736341081
0,1e-05,7,8,0,0.0
0,1e-05,7,9,0,0.0
0,1e-05,7,10,0,0.0
0,1e-05,7,11,1,1.213820733953467
0,1e-05,8,0,1,4.125301819166404
0,1e-05,8,1,1,3.499777731753118
0,1e-05,8,2,1,3.3961469337419925
0,1e-05,8,3,1,4.312257888824647
0,1e-05,8,4,1,10.43670131974829
0,1e-05,8,5,1,8.574747781023708
0,1e-05,8,6,0,0.0
0,1e-05,8,7,0,0.0
0,1e-05,8,8,1,4.162335054528965
0,1e-05,8,9,1,4.962279638608856
0,1e-05,8,10,1,16.087950441321983
0,1e-05,8,11,0,0.0
0,1e-05,9,0,1,2.3006942252466436
0,1e-05,9,1,1,3.0831076636354977
0,1e-05,9,2,1,3.130429047996895
0,1e-05,9,3,1,2.1923586568142275
0,1e-05,9,4,1,3.50278497994801
0,1e-05,9,5,1,3.866815290640513
0,1e-05,9,6,0,0.0
0,1e-05,9,7,0,0.0
0,1e-05,9,8,1,2.9420473500082935
0,1e-05,9,9,1,3.908283299034779
0,1e-05,9,10,1,5.110276732626441
0,1e-05,9,11,0,0.0
0,1e-05,10,0,1,2.0702741284949195
0,1e-05,10,1,1,3.015770422656087
0,1e-05,10,2,1,2.9267309955764005
0,1e-05,10,3,1,2.0212360551720354
0,1e-05,10,4,1,5.813927389390057
0,1e-05,10,5,1,4.712896258360034
0,1e-05,10,6,0,0.0
0,1e-05,10,7,0,0.0
0,1e-05,10,8,1,3.306174472579426
0,1e-05,10,9,1,2.6555377374028057
0,1e-05,10,10,1,8.279165578597336
0,1e-05,10,11,0,0.0
0,1e-05,11,0,0,0.0
0,1e-05,11,1,0,0.0
0,1e-05,11,2,0,0.0
0,1e-05,11,3,0,0.0
0,1e-05,11,4,0,0.0
0,1e-05,11,5,0,0.0
0,1e-05,11,6,1,1.6331783943701381
0,1e-05,11,7,1,1.6331783943721947
0,1e-05,11,8,0,0.0
0,1e-05,11,9,0,0.0
0,1e-05,11,10,0,0.0
0,1e-05,11,11,1,1.5663416518001794
0,5e-06,0,0,1,2.3375142800211504
0,5e-06,0,1,1,2.3375142798941813
0,5e-06,0,2,0,0.0
0,5e-06,0,3,0,0.0
0,5e-06,0,4,0,0.0
0,5e-06,0,5,0,0.0
0,5e-06,0,6,0,0.0
0,5e-06,0,7,0,0.0
0,5e-06,0,8,1,2.8337694833453035
0,5e-06,0,9,0,0.0
0,5e-06,0,10,0,0.0
0,5e-06,0,11,0,0.0
0,5e-06,1,0,0,0.0
0,5e-06,1,1,0,0.0
0,5e-06,1,2,1,1.3519305420832515
0,5e-06,1,3,1,1.351930542111051
0,5e-06,1,4,0,0.0
0,5e-06,1,5,0,0.0
0,5e-06,1,6,0,0.0
0,5e-06,1,7,0,0.0
0,5e-06,1,8,0,0.0
0,5e-06,1,9,1,1.3654612991056199
0,5e-06,1,10,0,0.0
0,5e-06,1,11,0,0.0
0,5e-06,2,0,0,0.0
0,5e-06,2,1,0,0.0
0,5e-06,2,2,0,0.0
0,5e-06,2,3,0,0.0
0,5e-06,2,4,1,2.857405802935151
0,5e-06,2,5,1,2.857405803073998
0,5e-06,2,6,0,0.0
0,5e-06,2,7,0,0.0
0,5e-06,2,8,0,0.0
0,5e-06,2,9,0,0.0
0,5e-06,2,10,1,4.36004170728177
0,5e-06,2,11,0,0.0
0,5e-06,3,0,0,0.0
0,5e-06,3,1,0,0.0
0,5e-06,3,2,0,0.0
0,5e-06,3,3,0,0.0
0,5e-06,3,4,0,0.0
0,5e-06,3,5,0,0.0
0,5e-06,3,6,1,1.3431147863579702
0,5e-06,3,7,1,1.3431147863688861
0,5e-06,3,8,0,0.0
0,5e-06,3,9,0,0.0
0,5e-06,3,10,0,0.0
0,5e-06,3,11,1,1.5775470372199851
0,5e-06,4,0,1,2.0325689300695595
0,5e-06,4,1,1,1.795519434065911
0,5e-06,4,2,1,1.1012603725884362
0,5e-06,4,3,1,1.101822758793888
0,5e-06,4,4,0,0.0
