sample,lambda,resolution,event,N_error,memory_norm_error,J_error,H_error,memory_change
0,0,base,0,8.817391261572993e-13,6.343814362708144e-13,7.997982551874421e-13,9.608425166618417e-13,0.6026856974098596
0,0,base,1,1.8329782136561334e-13,3.7192471324942744e-14,1.6440423593410394e-13,4.782563234329018e-13,0.14811837859433405
0,0,base,2,3.127449755374202e-16,1.1102230246251565e-16,5.3758650917643115e-16,8.239936510889834e-17,0.20635428337999323
0,0,base,3,3.3439917501709715e-13,5.5067062021407764e-14,2.883558518786696e-13,7.724515471707605e-13,0.09686464209064193
0,0,base,4,3.1585845050585704e-13,9.792167077193881e-14,3.2230170131331757e-13,6.794009799193645e-13,0.21498270261418886
0,0,base,5,2.248393032723876e-11,1.395028537132248e-11,2.0323480990585506e-11,3.38877814698435e-11,0.8059813426635147
0,0,base,6,9.02400551197957e-15,1.3766765505351941e-14,1.1035676930880217e-14,3.0600522116230877e-15,0.6071739569662764
0,0,base,7,1.4416245974757658e-13,2.5091040356528538e-14,1.253147691727147e-13,3.3249791808742657e-13,0.09686464209062504
0,0,base,8,1.2836935044325737e-13,1.3322676295501878e-13,1.3364964106431746e-13,7.14150960590132e-14,0.677704946046538
0,0,base,9,2.8483881919783016e-12,1.6799894808627869e-12,2.7755824054728955e-12,8.472667012426882e-12,0.3661086985920998
0,0,base,10,1.1708811697985766e-10,5.378097966968198e-11,9.031883564958201e-11,2.8068948866422816e-10,0.13377633546097822
0,0,base,11,3.312905505481467e-13,5.473399511402022e-14,2.856812471660037e-13,7.650546862691954e-13,0.0968646420906017
0,0,fine,0,1.2830847495592934e-12,8.396616735240059e-13,1.1199023172675845e-12,1.4195034037101095e-12,0.6026856974099958
0,0,fine,1,2.0078383400345956e-13,3.452793606584237e-14,1.7593829399327653e-13,5.247469125890802e-13,0.14811837859434032
0,0,fine,2,4.691174633061302e-16,3.3306690738754696e-16,4.824986583345346e-16,1.6219664500383146e-16,0.20635428337999334
0,0,fine,3,9.592326932761353e-14,1.4876988529977098e-14,8.234106355182853e-14,2.217601102749711e-13,0.09686464209066056
0,0,fine,4,2.0489165919457264e-13,6.061817714453355e-14,2.0701724254349473e-13,4.41369163439731e-13,0.2149827026143886
0,0,fine,5,5.6672673675457335e-12,4.32409663631006e-12,5.562784413907827e-12,8.616163338359684e-12,0.805981342663944
0,0,fine,6,8.712832908118997e-15,1.354472090042691e-14,1.082118107489844e-14,2.581268532253489e-15,0.607173956966702
0,0,fine,7,1.4521717162097048e-13,2.3425705819590803e-14,1.2492012786987596e-13,3.3516939224043085e-13,0.09686464209065293
0,0,fine,8,1.2311941658598498e-13,1.2811973704174306e-13,1.2808201298110526e-13,6.780687122898144e-14,0.6777049460473388
0,0,fine,9,3.2799318816501e-12,1.6890933096647132e-12,2.892379404807427e-12,9.477862938922499e-12,0.3661086985917346
0,0,fine,10,8.596789946579975e-11,2.4371171747361586e-11,6.321013206773005e-11,2.0487481376852352e-10,0.13377633546046297
0,0,fine,11,9.137135492665038e-14,1.4988010832439613e-14,7.84847691408418e-14,2.111991137532243e-13,0.09686464209064205
0,0.1,base,0,2.876698879106243e-12,1.7116308370646038e-12,2.4965454809954444e-12,3.869488063301674e-12,0.6026856974098215
0,0.1,base,1,4.79061235125755e-13,8.08242361927114e-14,4.2059848613937527e-13,1.2800038806659586e-12,0.14811837859433266
0,0.1,base,2,9.382349266122605e-16,3.3306690738754696e-16,1.090003691604072e-15,5.412337245047638e-16,0.20635428337999104
0,0.1,base,3,2.511324481702104e-13,4.030109579389318e-14,2.178240286571172e-13,5.973208039300459e-13,0.09686464209064137
0,0.1,base,4,4.157785227221211e-13,9.903189379656396e-14,4.040542452238715e-13,9.289236047038685e-13,0.2231896899277499
0,0.1,base,5,9.113506379384408e-12,6.669553798133165e-12,9.073009164681867e-12,1.681010886045442e-11,0.768132615398247
0,0.1,base,6,6.22345207722715e-15,3.119726699196689e-14,1.8621819523462826e-14,1.8485213360008856e-14,0.640024291491237
0,0.1,base,7,2.7844393457598926e-13,4.340972026284362e-14,2.404734818438674e-13,6.62910698556729e-13,0.09686464209062334
0,0.1,base,8,5.941250135288054e-13,5.113687251423471e-13,5.998305588757347e-13,6.205314040386156e-13,0.7108658541412536
0,0.1,base,9,2.4498181261378704e-12,1.361799562005217e-12,2.3981779423499447e-12,7.368550214437164e-12,0.3263543533380918
0,0.1,base,10,4.3004377836552976e-11,2.3404611582122925e-11,3.8689009854658164e-11,1.2068630842141183e-10,0.13626317531846868
0,0.1,base,11,2.5479618415147343e-13,4.04121180963557e-14,2.206273647993748e-13,6.05918093476987e-13,0.09686464209060032
0,0.1,fine,0,1.443845043525016e-12,8.693046282814976e-13,1.2586651830907315e-12,1.9387269567516796e-12,0.6026856974099891
0,0.1,fine,1,1.7708057242771247e-13,3.47499806707674e-14,1.5399672038567373e-13,4.738709424856324e-13,0.14811837859434018
0,0.1,fine,2,7.818624388435504e-16,4.440892098500626e-16,8.223980386140789e-16,3.608224830031759e-16,0.20635428337999123
0,0.1,fine,3,1.4205303600078878e-13,2.1760371282653068e-14,1.2256022760324933e-13,3.3828148615633324e-13,0.09686464209066059
