case,time,source_a,inverse_a,causal_a,retained_error_a,discarded_error_a
finest-broad,0.0,0.0,0.0,0.0,0.0,0.0
finest-broad,0.0125,0.0,0.0,0.0,0.0,0.0
finest-broad,0.025,0.0,0.0,0.0,0.0,0.0
finest-broad,0.037500000000000006,0.0,0.0,0.0,0.0,0.0
finest-broad,0.05,0.0,0.0,0.0,0.0,0.0
finest-broad,0.0625,0.0,0.0,0.0,0.0,0.0
finest-broad,0.07500000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,0.08750000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,0.1,0.0,0.0,0.0,0.0,0.0
finest-broad,0.1125,0.0,0.0,0.0,0.0,0.0
finest-broad,0.125,0.0,0.0,0.0,0.0,0.0
finest-broad,0.1375,0.0,0.0,0.0,0.0,0.0
finest-broad,0.15000000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,0.1625,0.0,0.0,0.0,0.0,0.0
finest-broad,0.17500000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,0.1875,0.0,0.0,0.0,0.0,0.0
finest-broad,0.2,0.0,0.0,0.0,0.0,0.0
finest-broad,0.21250000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,0.225,0.0,0.0,0.0,0.0,0.0
finest-broad,0.23750000000000002,0.0,0.0,0.0,0.0,0.0
finest-broad,0.25,0.0,0.0,0.0,0.0,0.0
finest-broad,0.2625,0.0,0.0,0.0,0.0,0.0
finest-broad,0.275,0.0,0.0,0.0,0.0,0.0
finest-broad,0.28750000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,0.30000000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,0.3125,0.0,0.0,0.0,0.0,0.0
finest-broad,0.325,0.0,0.0,0.0,0.0,0.0
finest-broad,0.3375,0.0,0.0,0.0,0.0,0.0
finest-broad,0.35000000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,0.36250000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,0.375,0.0,0.0,0.0,0.0,0.0
finest-broad,0.3875,0.0,0.0,0.0,0.0,0.0
finest-broad,0.4,0.0,0.0,0.0,0.0,0.0
finest-broad,0.41250000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,0.42500000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,0.4375,0.0,0.0,0.0,0.0,0.0
finest-broad,0.45,0.0,0.0,0.0,0.0,0.0
finest-broad,0.4625,0.0,0.0,0.0,0.0,0.0
finest-broad,0.47500000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,0.48750000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,0.5,0.0,0.0,0.0,0.0,0.0
finest-broad,0.5125000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,0.525,0.0,0.0,0.0,0.0,0.0
finest-broad,0.5375,0.0,0.0,0.0,0.0,0.0
finest-broad,0.55,0.0,0.0,0.0,0.0,0.0
