triad,order,radius,max_cone_error
orthogonal,forward,0.02,0.007742446435048114
orthogonal,forward,0.04,0.015573759082553814
orthogonal,forward,0.08,0.031502701872828734
orthogonal,forward,0.16,0.06442137933978571
orthogonal,reverse,0.02,0.007742446435048791
orthogonal,reverse,0.04,0.01557375908255422
orthogonal,reverse,0.08,0.03150270187282697
orthogonal,reverse,0.16,0.06442137933978544
oblique,forward,0.02,0.005390556469605664
oblique,forward,0.04,0.010896915464625527
oblique,forward,0.08,0.022265412035847424
oblique,forward,0.16,0.0464874473938805
oblique,reverse,0.02,0.00539055646961759
oblique,reverse,0.04,0.010896915464624443
oblique,reverse,0.08,0.022265412035845526
oblique,reverse,0.16,0.046487447393883205
collinear,forward,0.02,0.0
collinear,forward,0.04,0.0
collinear,forward,0.08,5.421010862427524e-16
collinear,forward,0.16,4.0657581468206416e-16
collinear,reverse,0.02,0.0
collinear,reverse,0.04,0.0
collinear,reverse,0.08,5.421010862427524e-16
collinear,reverse,0.16,4.0657581468206416e-16
