triad,order,radius,direction,qx,qy,qz,phase,continuum,cone_error
orthogonal,forward,0.020000000000000004,0,-0.011547005383792518,-0.011547005383792518,-0.011547005383792518,0.020076389722326518,0.020000000000000004,0.007653560706844221
orthogonal,forward,0.019999999999999997,1,-0.014142135623730949,-0.014142135623730949,0.0,0.019999666654999828,0.019999999999999997,3.333422221967463e-05
orthogonal,forward,0.020000000000000004,2,-0.011547005383792518,-0.011547005383792518,0.011547005383792518,0.019922425088979026,0.020000000000000004,0.007742446435048114
orthogonal,forward,0.019999999999999997,3,-0.014142135623730949,0.0,-0.014142135623730949,0.019999666654999824,0.019999999999999997,3.333422221994568e-05
orthogonal,forward,0.02,4,-0.02,0.0,0.0,0.020000000000000077,0.02,7.589415207398531e-15
orthogonal,forward,0.019999999999999997,5,-0.014142135623730949,0.0,0.014142135623730949,0.019999666654999824,0.019999999999999997,3.333422221994568e-05
orthogonal,forward,0.020000000000000004,6,-0.011547005383792518,0.011547005383792518,-0.011547005383792518,0.019922425088979026,0.020000000000000004,0.007742446435048114
orthogonal,forward,0.019999999999999997,7,-0.014142135623730949,0.014142135623730949,0.0,0.01999966665499974,0.019999999999999997,3.333422222834825e-05
orthogonal,forward,0.020000000000000004,8,-0.011547005383792518,0.011547005383792518,0.011547005383792518,0.020076389722326567,0.020000000000000004,0.007653560706848965
orthogonal,forward,0.019999999999999997,9,0.0,-0.014142135623730949,-0.014142135623730949,0.019999666654999824,0.019999999999999997,3.333422221994568e-05
orthogonal,forward,0.02,10,0.0,-0.02,0.0,0.02000000000000008,0.02,7.995991022080595e-15
orthogonal,forward,0.019999999999999997,11,0.0,-0.014142135623730949,0.014142135623730949,0.019999666654999766,0.019999999999999997,3.333422222590879e-05
orthogonal,forward,0.02,12,0.0,0.0,-0.02,0.020000000000000004,0.02,4.0657581468206416e-16
orthogonal,forward,0.02,13,0.0,0.0,0.02,0.02000000000000003,0.02,3.1170812458958252e-15
orthogonal,forward,0.019999999999999997,14,0.0,0.014142135623730949,-0.014142135623730949,0.019999666654999824,0.019999999999999997,3.333422221994568e-05
orthogonal,forward,0.02,15,0.0,0.02,0.0,0.02000000000000003,0.02,3.1170812458958252e-15
orthogonal,forward,0.019999999999999997,16,0.0,0.014142135623730949,0.014142135623730949,0.019999666654999766,0.019999999999999997,3.333422222590879e-05
orthogonal,forward,0.020000000000000004,17,0.011547005383792518,-0.011547005383792518,-0.011547005383792518,0.019922425088979026,0.020000000000000004,0.007742446435048114
orthogonal,forward,0.019999999999999997,18,0.014142135623730949,-0.014142135623730949,0.0,0.01999966665499974,0.019999999999999997,3.333422222834825e-05
orthogonal,forward,0.020000000000000004,19,0.011547005383792518,-0.011547005383792518,0.011547005383792518,0.02007638972232656,0.020000000000000004,0.007653560706848288
orthogonal,forward,0.019999999999999997,20,0.014142135623730949,0.0,-0.014142135623730949,0.019999666654999824,0.019999999999999997,3.333422221994568e-05
orthogonal,forward,0.02,21,0.02,0.0,0.0,0.02000000000000003,0.02,3.1170812458958252e-15
orthogonal,forward,0.019999999999999997,22,0.014142135623730949,0.0,0.014142135623730949,0.019999666654999824,0.019999999999999997,3.333422221994568e-05
orthogonal,forward,0.020000000000000004,23,0.011547005383792518,0.011547005383792518,-0.011547005383792518,0.020076389722326598,0.020000000000000004,0.007653560706852218
orthogonal,forward,0.019999999999999997,24,0.014142135623730949,0.014142135623730949,0.0,0.0199996666549998,0.019999999999999997,3.3334222222385136e-05
orthogonal,forward,0.020000000000000004,25,0.011547005383792518,0.011547005383792518,0.011547005383792518,0.019922425088979026,0.020000000000000004,0.007742446435048114
orthogonal,forward,0.04000000000000001,0,-0.023094010767585035,-0.023094010767585035,-0.023094010767585035,0.04030321583410347,0.04000000000000001,0.015218254106455003
orthogonal,forward,0.039999999999999994,1,-0.028284271247461898,-0.028284271247461898,0.0,0.03999733295997517,0.039999999999999994,0.00013334755555199945
orthogonal,forward,0.04000000000000001,2,-0.023094010767585035,-0.023094010767585035,0.023094010767585035,0.039687302572333105,0.04000000000000001,0.015573759082551781
orthogonal,forward,0.039999999999999994,3,-0.028284271247461898,0.0,-0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,forward,0.04,4,-0.04,0.0,0.0,0.040000000000000056,0.04,2.710505431213761e-15
orthogonal,forward,0.039999999999999994,5,-0.028284271247461898,0.0,0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,forward,0.04000000000000001,6,-0.023094010767585035,0.023094010767585035,-0.023094010767585035,0.039687302572333064,0.04000000000000001,0.015573759082553814
orthogonal,forward,0.039999999999999994,7,-0.028284271247461898,0.028284271247461898,0.0,0.03999733295997517,0.039999999999999994,0.00013334755555199945
orthogonal,forward,0.04000000000000001,8,-0.023094010767585035,0.023094010767585035,0.023094010767585035,0.040303215834103574,0.04000000000000001,0.015218254106460154
orthogonal,forward,0.039999999999999994,9,0.0,-0.028284271247461898,-0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,forward,0.04,10,0.0,-0.04,0.0,0.040000000000000056,0.04,2.710505431213761e-15
orthogonal,forward,0.039999999999999994,11,0.0,-0.028284271247461898,0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,forward,0.04,12,0.0,0.0,-0.04,0.040000000000000036,0.04,1.7618285302889447e-15
orthogonal,forward,0.04,13,0.0,0.0,0.04,0.040000000000000036,0.04,1.7618285302889447e-15
orthogonal,forward,0.039999999999999994,14,0.0,0.028284271247461898,-0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,forward,0.04,15,0.0,0.04,0.0,0.040000000000000056,0.04,2.710505431213761e-15
orthogonal,forward,0.039999999999999994,16,0.0,0.028284271247461898,0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,forward,0.04000000000000001,17,0.023094010767585035,-0.023094010767585035,-0.023094010767585035,0.039687302572333064,0.04000000000000001,0.015573759082553814
orthogonal,forward,0.039999999999999994,18,0.028284271247461898,-0.028284271247461898,0.0,0.03999733295997517,0.039999999999999994,0.00013334755555199945
orthogonal,forward,0.04000000000000001,19,0.023094010767585035,-0.023094010767585035,0.023094010767585035,0.04030321583410347,0.04000000000000001,0.015218254106455003
orthogonal,forward,0.039999999999999994,20,0.028284271247461898,0.0,-0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,forward,0.04,21,0.04,0.0,0.0,0.040000000000000056,0.04,2.710505431213761e-15
orthogonal,forward,0.039999999999999994,22,0.028284271247461898,0.0,0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,forward,0.04000000000000001,23,0.023094010767585035,0.023094010767585035,-0.023094010767585035,0.040303215834103574,0.04000000000000001,0.015218254106460154
orthogonal,forward,0.039999999999999994,24,0.028284271247461898,0.028284271247461898,0.0,0.03999733295997517,0.039999999999999994,0.00013334755555199945
orthogonal,forward,0.04000000000000001,25,0.023094010767585035,0.023094010767585035,0.023094010767585035,0.03968730257233316,0.04000000000000001,0.015573759082548934
orthogonal,forward,0.08000000000000002,0,-0.04618802153517007,-0.04618802153517007,-0.04618802153517007,0.08119433633354428,0.08000000000000002,0.030081289475735334
orthogonal,forward,0.07999999999999999,1,-0.056568542494923796,-0.056568542494923796,0.0,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,forward,0.08000000000000002,2,-0.04618802153517007,-0.04618802153517007,0.04618802153517007,0.07872980825591981,0.08000000000000002,0.031502701872828734
orthogonal,forward,0.07999999999999999,3,-0.056568542494923796,0.0,-0.056568542494923796,0.07997865471681645,0.07999999999999999,0.0005335608887893153
orthogonal,forward,0.08,4,-0.08,0.0,0.0,0.08000000000000002,0.08,4.0657581468206416e-16
orthogonal,forward,0.07999999999999999,5,-0.056568542494923796,0.0,0.056568542494923796,0.07997865471681645,0.07999999999999999,0.0005335608887893153
orthogonal,forward,0.08000000000000002,6,-0.04618802153517007,0.04618802153517007,-0.04618802153517007,0.07872980825591981,0.08000000000000002,0.031502701872828734
orthogonal,forward,0.07999999999999999,7,-0.056568542494923796,0.056568542494923796,0.0,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,forward,0.08000000000000002,8,-0.04618802153517007,0.04618802153517007,0.04618802153517007,0.08119433633354428,0.08000000000000002,0.030081289475735334
orthogonal,forward,0.07999999999999999,9,0.0,-0.056568542494923796,-0.056568542494923796,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,forward,0.08,10,0.0,-0.08,0.0,0.08000000000000002,0.08,4.0657581468206416e-16
orthogonal,forward,0.07999999999999999,11,0.0,-0.056568542494923796,0.056568542494923796,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,forward,0.08,12,0.0,0.0,-0.08,0.08000000000000004,0.08,1.0842021724855044e-15
orthogonal,forward,0.08,13,0.0,0.0,0.08,0.08000000000000003,0.08,6.776263578034403e-16
orthogonal,forward,0.07999999999999999,14,0.0,0.056568542494923796,-0.056568542494923796,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,forward,0.08,15,0.0,0.08,0.0,0.08000000000000007,0.08,1.7618285302889447e-15
orthogonal,forward,0.07999999999999999,16,0.0,0.056568542494923796,0.056568542494923796,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,forward,0.08000000000000002,17,0.04618802153517007,-0.04618802153517007,-0.04618802153517007,0.07872980825591981,0.08000000000000002,0.031502701872828734
orthogonal,forward,0.07999999999999999,18,0.056568542494923796,-0.056568542494923796,0.0,0.07997865471681638,0.07999999999999999,0.0005335608887910772
