triad,order,box_size,norm_error,fourier_error
orthogonal,forward,8,2.220446049250313e-16,3.263865083963867e-16
orthogonal,forward,12,2.220446049250313e-16,6.544698341181148e-16
orthogonal,reverse,8,0.0,3.2653509216002794e-16
orthogonal,reverse,12,0.0,6.512457954255488e-16
oblique,forward,8,0.0,3.6398605087934966e-16
oblique,forward,12,2.220446049250313e-16,6.709679140331788e-16
oblique,reverse,8,0.0,3.632024847372806e-16
oblique,reverse,12,1.1102230246251565e-16,6.778545366739879e-16
collinear,forward,8,0.0,3.0486328649200644e-16
collinear,forward,12,2.220446049250313e-16,6.4796290193880105e-16
collinear,reverse,8,0.0,3.173670456199616e-16
collinear,reverse,12,2.220446049250313e-16,6.521067738811334e-16
