triad,order,size,zero_nodes,pi_nodes,minimum,maximum
orthogonal,forward,16,8,8,0.0,3.141592653589793
orthogonal,forward,32,8,8,0.0,3.141592653589793
orthogonal,reverse,16,8,8,0.0,3.141592653589793
orthogonal,reverse,32,8,8,0.0,3.141592653589793
oblique,forward,16,4,4,1.3877787807814457e-17,3.141592653589793
oblique,forward,32,4,4,1.3877787807814457e-17,3.141592653589793
oblique,reverse,16,4,4,3.1031676915590914e-17,3.141592653589793
oblique,reverse,32,4,4,3.1031676915590914e-17,3.141592653589793
collinear,forward,16,256,256,0.0,3.141592653589793
collinear,forward,32,1024,1024,0.0,3.141592653589793
collinear,reverse,16,256,256,0.0,3.141592653589793
collinear,reverse,32,1024,1024,0.0,3.141592653589793
