run,dx,dt,b_prepared,b_measured,carrier,Omega,power_n_plus_1,power_n_minus_2,harmonic_excitation_loss,calibrated_excitation_energy,gamma_amplitude_fit,charge_relative_drift
b0.01_superfine,0.0125,0.0025,0.01,0.009888777607488878,0.903427324989648,1.7285040771069935,6.02166793754518e-07,9.11666167706827e-10,3.966934800199742e-07,0.13863618104526954,1.429939225648662e-06,3.493976803694477e-14
b0.01_timefine,0.025,0.0025,0.01,0.009888816460248537,0.9034269414244609,1.7285037200732087,6.011691974382568e-07,9.103318162562431e-10,3.9603646633143746e-07,0.13863644720502138,1.4275684754723934e-06,1.814416024374675e-14
b0.0025_fine,0.025,0.005,0.0025,0.002491852454191413,0.9034714240866796,1.728513869956509,3.8255793402494623e-08,3.682450015547828e-12,2.5129007022432323e-08,0.008799479897341814,1.427834075271361e-06,1.851194727571462e-14
b0.005_fine,0.025,0.005,0.005,0.004970605415480689,0.9034625116742143,1.7285119585367652,1.5215635886670423e-07,5.826470814671075e-11,1.0000548598252398e-07,0.03501601454062625,1.4278145941658678e-06,2.2435008950038213e-14
b0.01_fine,0.025,0.005,0.01,0.009888811835218378,0.9034273483521832,1.72850449679154,6.012243341679121e-07,9.104061672970789e-10,3.960751000011914e-07,0.13863660328286437,1.4277280213647462e-06,2.4151348432554766e-14
b0.02_fine,0.025,0.005,0.02,0.019568156387458645,0.9032908972799336,1.7284767511656751,2.338324631736935e-06,1.3817341592928478e-08,1.5543069122317744e-06,0.5435562862795217,1.4268816230291157e-06,1.5079268310681473e-14
b0.04_fine,0.025,0.005,0.04,0.03830093887581734,0.9027826235648404,1.7283906771598123,8.694302479504919e-06,1.9438272921750186e-07,5.972123281093585e-06,2.0927330594703544,1.4156865455103918e-06,1.8634542953037243e-14
b0.09_fine,0.025,0.005,0.09,0.08152595556427432,0.9005672454170902,1.728365118213485,3.0902403098642596e-05,2.988396943922705e-06,2.4327520227432953e-05,9.72763882360751,1.2014401781858957e-06,1.814416024374675e-14
b0.005_coarse,0.05,0.01,0.005,0.004970674143340186,0.9034626003404888,1.7285136244760686,1.512054979032262e-07,5.79431232074947e-11,9.93828665232743e-08,0.03501643506756957,1.4189966493368395e-06,1.3853311537455325e-14
b0.01_coarse,0.05,0.01,0.01,0.009888948673739885,0.9034274417701059,1.7285061760442906,5.974597381783511e-07,9.053723637076152e-10,3.9360496037357236e-07,0.1386382849233523,1.4188948538407456e-06,1.1646589345648263e-14
b0.02_coarse,0.05,0.01,0.02,0.01956842627201254,0.9032910091666742,1.7284784820687595,2.323568903729679e-06,1.3740402647659394e-08,1.544547365098124e-06,0.5435630387489541,1.4179916823586775e-06,1.1156206636357815e-14
b0.04_coarse,0.05,0.01,0.04,0.03830145380357801,0.9027828048721183,1.7283926003128602,8.637738625980917e-06,1.9326985479989287e-07,5.933602199796206e-06,2.0927606382270336,1.4066199495628515e-06,1.422109856942316e-14
b0.06_coarse,0.05,0.01,0.06,0.05620610044468517,0.9020216387628651,1.7283172211863276,1.7506337289348427e-05,8.288492174264603e-07,1.2615643298899696e-05,4.54295020600023,1.3642795468365021e-06,1.1646589345648258e-14
b0.09_coarse,0.05,0.01,0.09,0.08152686400659047,0.9005677446852217,1.728367873791994,3.06640991308173e-05,2.9684110544480282e-06,2.414447077571834e-05,9.727787018273203,1.192442033250895e-06,1.2872546118874406e-14
