target_omega,width_ratio,nu,E0_minus_Q0,core_charge_mean,phase_frequency,profile_relative_L2_mean,phase_residual_rms,energy_drift,charge_drift
0.9,0.5,0.8,34.014348288616986,63.987081991687035,0.9860742221058684,0.11312471487504408,0.15160556880747492,1.4963442652282666e-05,1.2434497875801753e-14
0.9,0.5,0.9,24.94481844658901,76.53726545728087,0.9838993128375064,0.11132126788575283,0.1655054435112892,9.578238850282972e-06,1.2434497875801753e-14
0.9,0.5,1.0,21.031071264408013,84.7965810778294,0.9818341112208727,0.10932308523132367,0.11185730063145782,5.6978915550232045e-06,1.6431300764452317e-14
0.9,1,0.8,-7.022911865241014,228.94316921048306,0.9041529363116947,0.016615749121838674,0.045149557406016005,2.1450550464763296e-06,1.2434497875801753e-14
0.9,1,0.9,-8.600571639766002,229.17717738028674,0.9045698057532885,0.01441644294710808,0.0034046411564208857,1.5950985710055932e-07,1.2434497875801753e-14
0.9,1,1.0,-7.5741271118450015,229.19777054472408,0.9041680966446881,0.016191567782882305,0.0396820615726906,1.7683406681179292e-06,1.6431300764452317e-14
0.9,2,0.8,-7.2581524963050015,232.09691070625948,0.902889554803424,0.01444335992861797,0.04749758521301774,2.267178938364367e-06,1.2434497875801753e-14
0.9,2,0.9,-9.066912771971005,232.10238242517173,0.9034130459417176,0.011399661805090701,0.005344303949688003,3.9247835226241534e-07,1.6653345369377348e-14
0.9,2,1.0,-8.310423975843008,232.05862806616523,0.9031589625297012,0.013048145822821414,0.03396678603038849,1.4374106518388885e-06,1.2434497875801753e-14
0.9,4,0.8,-2.303818352799027,198.87922484069153,0.9214157355930791,0.1174614164854946,0.07150127908978995,3.4517100835351755e-06,1.6431300764452317e-14
0.9,4,0.9,-5.222510773600021,200.52064568347475,0.9226550967370382,0.12861058710297277,0.05348357150572572,1.3173905226704363e-06,1.2434497875801753e-14
0.9,4,1.0,-5.286111148753008,200.26756216909678,0.9226328226215096,0.12715557292336283,0.0545261270528788,9.615825496966934e-07,1.6653345369377348e-14
0.88,0.5,0.8,67.04050128732001,17.976171700444784,0.9977585486057855,0.0637046433661871,0.07036179515232856,3.173250908883318e-05,2.1760371282653068e-14
0.88,0.5,0.9,45.739130588887974,36.38601792393696,0.9954604657435273,0.09909784102911215,0.05488593043259377,1.9988358599176692e-05,1.84297022087776e-14
0.88,0.5,1.0,35.19708615848896,85.49547377374375,0.9818852878176922,0.13683999138447397,0.19523883647666193,1.2307305467196272e-05,2.1760371282653068e-14
0.88,1,0.8,-13.815570772282001,304.2781303012567,0.8832255416281176,0.009406598521882479,0.03869650264364509,2.7377219582458423e-06,1.865174681370263e-14
0.88,1,0.9,-16.155283025505014,304.6959359137795,0.8830888507968768,0.008252850857370514,0.004420863453083555,4.434875684466988e-07,2.1649348980190553e-14
0.88,1,1.0,-14.63612241307402,304.25307858288465,0.8832388081838477,0.00944687227049356,0.042340104572680365,1.9119629871555688e-06,2.1649348980190553e-14
0.88,2,0.8,-15.721923779837994,309.1147044798703,0.8823233638992262,0.008339368792520278,0.03536079788366529,1.6421028117274972e-06,1.865174681370263e-14
0.88,2,0.9,-17.163937251322977,308.8478411461566,0.8823095730626573,0.007347841692843713,0.006634745332287682,2.507543338525764e-07,2.1760371282653068e-14
0.88,2,1.0,-15.378112492660023,309.03898143586724,0.8823722871647209,0.008995000402298801,0.044373209904976736,1.961637394520821e-06,2.1649348980190553e-14
0.88,4,0.8,-7.0430566022440075,252.88894989509825,0.897997250155092,0.07056223810120621,0.050343406147608155,2.9330784812042765e-06,2.1760371282653068e-14
0.88,4,0.9,-10.18218361816497,253.87885941012973,0.8985207461660619,0.07830833421265353,0.015976346118044008,8.547145169401915e-07,2.4868995751603507e-14
0.88,4,1.0,-9.704155640253987,253.17291790940413,0.8984308361599141,0.07537881586842264,0.03252220060797463,1.2155220061593752e-06,2.4868995751603507e-14
0.95,0.5,0.8,8.233912935267,58.78874263915971,0.988108744994098,0.08809489044506481,0.11964081516960896,4.450734883754137e-06,2.1760371282653068e-14
0.95,0.5,0.9,5.984221564465997,56.18229304196542,0.9905417786449021,0.07989897555767224,0.10481858681909552,2.320570951619416e-06,2.1760371282653068e-14
0.95,0.5,1.0,5.476074671282021,58.40766395192213,0.9896423366654195,0.08085945384161636,0.10414371694147574,8.455955393671388e-07,2.1760371282653068e-14
0.95,1,0.8,-0.3906677159849892,133.47158127144377,0.9519300769607231,0.03553857539691474,0.06444445244230576,2.9857292784818412e-06,2.1760371282653068e-14
0.95,1,0.9,-1.9206701104629929,133.15040385160555,0.9536084229388156,0.03246570272899406,0.029833141374978656,8.863620992727306e-07,2.1760371282653068e-14
0.95,1,1.0,-1.8681059933289816,133.20905658706172,0.9535295765512488,0.03233034327426491,0.03135573154640806,1.2689667739929078e-06,2.1760371282653068e-14
0.95,2,0.8,-0.017970262247985147,134.15111369460692,0.9512282857689697,0.04119363584663035,0.0675396589018755,3.7285552301202785e-06,2.1760371282653068e-14
0.95,2,0.9,-1.8988428709909897,134.51092881279624,0.9525522477429487,0.02796632742585949,0.02939997068246077,1.4396728518217827e-06,2.864375403532904e-14
0.95,2,1.0,-2.0857691777829928,134.53954842585335,0.9526710766068428,0.02292984836012696,0.023128623454860737,7.898487511814878e-07,2.864375403532904e-14
0.95,4,0.8,1.3398367544299958,120.47656644744302,0.9638316637232203,0.1496327632450464,0.1600863760651163,4.478676294050743e-06,2.864375403532904e-14
0.95,4,0.9,-0.894173119827002,121.58264359142787,0.964753063973098,0.15168204868164786,0.14736921267398187,1.9811292741866993e-06,3.597122599785507e-14
0.95,4,1.0,-1.3308249070719853,121.79180163285633,0.9649162736878022,0.15103579148894447,0.14396793017339285,4.811058929021783e-07,3.597122599785507e-14
0.98,0.5,0.8,2.8022275620454025,33.06486492946554,0.9958430501315872,0.058362676781414255,0.10621499882749161,4.259199370970634e-06,2.042810365310288e-14
0.98,0.5,0.9,1.481998853065008,28.88193252481015,0.9966377662152438,0.056347648546823795,0.04664484626192569,1.896866431039257e-06,1.8096635301390052e-14
0.98,0.5,1.0,1.1921826521423071,28.4944585703023,0.9967255700598919,0.05628050065626206,0.014323655285191037,6.526897650127594e-07,1.8096635301390052e-14
0.98,1,0.8,1.0934963794251047,79.6339481108683,0.9801337016846602,0.043289968509159865,0.0814227448119908,4.296819884119785e-06,2.4091839634365897e-14
0.98,1,0.9,-0.19821836437628804,79.2171456576795,0.9813200126250236,0.03348417266438546,0.05657789743038403,1.795098914847415e-06,3.3861802251067274e-14
0.98,1,1.0,-0.44127796411349607,79.14277296374993,0.9815569873543514,0.033388029877092086,0.05129576623801419,6.041808381374025e-07,2.531308496145357e-14
0.98,2,0.8,1.243893257947704,79.61939967505796,0.9803269687343794,0.04438784876022103,0.08073106737701127,4.7510771925551865e-06,3.630429290524262e-14
0.98,2,0.9,-0.16191843025988817,79.91678766169242,0.9811506492690965,0.02961525842817526,0.04751152143314078,2.098904479774788e-06,2.2870594307278225e-14
0.98,2,1.0,-0.48000024331909685,79.97950399586112,0.9813308349129871,0.024435878016918093,0.03629975157083706,3.435835470577686e-07,2.7755575615628914e-14
0.98,4,0.8,1.5703045084153047,70.79844401876791,0.9852038483220227,0.12487473236823801,0.2041675645767537,5.08231753593158e-06,1.9317880628477724e-14
0.98,4,0.9,0.07535340028300652,71.1759747684568,0.9862211960182232,0.1169218970325226,0.18816603425684936,2.3413330272337163e-06,2.4313884239290928e-14
0.98,4,1.0,-0.3048416206926987,71.26707135595336,0.986486474317048,0.11595881172950283,0.18189664009059275,1.966992144719626e-07,1.8096635301390052e-14
